Name,Team,P,G,A
Alex Roldan,Seattle Sounders FC,9,0,1
Brad Smith,Seattle Sounders FC,29,0,7
Chad Marshall,Seattle Sounders FC,8,0,0
Cristian Roldan,Seattle Sounders FC,33,6,6
Daniel Leyva,Seattle Sounders FC,6,0,0
Gustav Svensson,Seattle Sounders FC,26,1,4
Handwalla Bwana,Seattle Sounders FC,15,1,1
Harry Shipp,Seattle Sounders FC,25,5,3
Henry Wingo,Seattle Sounders FC,6,0,0
Joevin Jones,Seattle Sounders FC,21,0,4
Jordan Morris,Seattle Sounders FC,30,13,8
Jordy Delem,Seattle Sounders FC,27,0,1
Justin Dhillon,Seattle Sounders FC,5,0,0
Kelvin Leerdam,Seattle Sounders FC,33,6,2
Kim Kee-Hee,Seattle Sounders FC,34,0,1
Luis Silva,Seattle Sounders FC,6,0,0
Nicolás Lodeiro,Seattle Sounders FC,32,9,17
Nouhou Tolo,Seattle Sounders FC,24,0,0
Raúl Ruidíaz,Seattle Sounders FC,26,15,7
Román Torres,Seattle Sounders FC,21,1,0
Saad Abdul-Salaam,Seattle Sounders FC,18,0,1
Stefan Frei,Seattle Sounders FC,38,0,0
Víctor Rodríguez,Seattle Sounders FC,20,3,3
Will Bruin,Seattle Sounders FC,9,2,1
Xavier Arreaga,Seattle Sounders FC,17,0,0
