Name,Team,P,G,A
Alex DeJohn,Orlando City SC,6,0,0
Benji Michel,Orlando City SC,17,5,0
Brian Rowe,Orlando City SC,32,0,0
Carlos Ascues,Orlando City SC,17,1,1
Chris Mueller,Orlando City SC,29,5,4
Cristian Higuita,Orlando City SC,9,0,2
Danilo Acosta,Orlando City SC,8,0,1
David Colman,Orlando City SC,8,0,1
Dillon Powers,Orlando City SC,7,0,1
Dom Dwyer,Orlando City SC,27,7,4
Jhegson Méndez,Orlando City SC,23,0,0
Joao Moutinho,Orlando City SC,16,0,3
Kamal Miller,Orlando City SC,16,0,0
Kyle Smith,Orlando City SC,23,0,0
Lamine Sané,Orlando City SC,26,0,1
Mauricio Pereyra,Orlando City SC,6,0,4
Nani,Orlando City SC,30,12,10
Oriol Rosell,Orlando City SC,20,0,1
Robin Jansson,Orlando City SC,28,0,0
Ruan,Orlando City SC,25,0,5
Sacha Kljestan,Orlando City SC,23,1,3
Santiago Patino,Orlando City SC,11,2,1
Shane O'Neill,Orlando City SC,11,0,0
Tesho Akindele,Orlando City SC,28,10,2
Will Johnson,Orlando City SC,21,1,1
