Name,Team,P,G,A
Anthony Jackson-Hamel,CF Montréal,16,3,0
Bacary Sagna,CF Montréal,26,1,3
Ballou Tabla,CF Montréal,4,0,0
Bojan Krkic,CF Montréal,8,3,0
Clément Bayiha,CF Montréal,11,0,1
Daniel Lovitz,CF Montréal,28,0,2
Evan Bush,CF Montréal,32,0,0
Harry Novillo,CF Montréal,11,1,2
Ignacio Piatti,CF Montréal,11,3,1
Jorge Luis Corrales,CF Montréal,19,0,1
Jukka Raitala,CF Montréal,26,0,0
Ken Krolicki,CF Montréal,10,0,0
Lassi Lappalainen,CF Montréal,11,5,1
Mathieu Choinière,CF Montréal,17,0,1
Maximiliano Urruti,CF Montréal,31,4,6
Omar Browne,CF Montréal,10,2,2
Orji Okwonkwo,CF Montréal,28,8,2
Rudy Camacho,CF Montréal,17,1,0
Samuel Piette,CF Montréal,25,0,0
Saphir Taïder,CF Montréal,32,9,7
Shamit Shome,CF Montréal,27,1,1
Víctor Cabrera,CF Montréal,16,0,0
Zachary Brault-Guillard,CF Montréal,13,0,1
Zakaria Diallo,CF Montréal,24,3,2
