Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Andrew Biers,Minnesota Swarm,D,15,4,14,18,5,0,0,0,67,0,0,0,0,18/48,38%
Ashton McLean,Minnesota Swarm,D,3,0,1,1,4,0,0,0,7,0,0,0,0,0/0,-
Brock Boyle,Minnesota Swarm,D,12,8,7,15,12,0,0,0,41,0,0,0,0,0/0,-
Chad Culp,Minnesota Swarm,F,11,13,24,37,12,0,0,0,29,0,0,0,0,0/0,-
Dean Hill,Minnesota Swarm,F,14,32,21,53,4,0,0,0,29,0,0,0,0,0/0,-
Eric Pacey,Minnesota Swarm,D,12,1,5,6,40,0,0,0,27,0,0,0,0,0/0,-
Eric Perkins,Minnesota Swarm,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Jon Sullivan,Minnesota Swarm,D,16,0,6,6,18,0,0,0,53,0,0,0,0,0/0,-
Kasey Beirnes,Minnesota Swarm,F,15,23,20,43,8,0,0,0,49,0,0,0,0,0/0,-
Kyle Ross,Minnesota Swarm,D,2,0,1,1,2,0,0,0,6,0,0,0,0,0/0,-
Mark Miyashita,Minnesota Swarm,D,8,3,5,8,2,0,0,0,98,0,0,0,0,129/215,60%
Matt Disher,Minnesota Swarm,G,16,0,1,1,0,0,0,0,12,0,0,0,0,0/0,-
Mike Kilby,Minnesota Swarm,D,16,2,6,8,56,0,0,0,37,0,0,0,0,0/0,-
Nick Patterson,Minnesota Swarm,G,16,0,3,3,0,0,0,0,11,0,0,0,0,0/0,-
Noah Talbot,Minnesota Swarm,F,15,1,8,9,23,0,0,0,74,0,0,0,0,0/0,-
Riley Kemp,Minnesota Swarm,D,11,0,5,5,24,0,0,0,58,0,0,0,0,0/0,-
Rory McDade,Minnesota Swarm,F,3,0,4,4,7,0,0,0,8,0,0,0,0,0/0,-
Ryan Cousins,Minnesota Swarm,D,16,9,14,23,16,0,0,0,108,0,0,0,0,0/0,-
Ryan Ward,Minnesota Swarm,F,15,23,52,75,6,0,0,0,44,0,0,0,0,0/0,-
Scott Stewart,Minnesota Swarm,F,15,17,23,40,4,0,0,0,57,0,0,0,0,0/0,-
Sean Pollock,Minnesota Swarm,F,15,26,41,67,28,0,0,0,60,0,0,0,0,0/0,-
Spencer Martin,Minnesota Swarm,F,14,14,27,41,15,0,0,0,56,0,0,0,0,0/0,-
Travis Hill,Minnesota Swarm,F,8,1,7,8,8,0,0,0,71,0,0,0,0,93/212,44%
