Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Anthony Kelly,New York Titans,D,5,0,1,1,26,0,0,0,17,0,0,0,0,65/130,50%
Blake Miller,New York Titans,T,3,1,1,2,6,0,0,0,9,0,0,0,0,0/0,-
Bobby Horsey,New York Titans,D,10,5,8,13,8,0,0,0,20,0,0,0,0,3/10,30%
Brendan Mundorf,New York Titans,F,14,23,21,44,12,0,0,0,50,0,0,0,0,0/0,-
Brian Tower,New York Titans,F,14,3,3,6,9,0,0,0,18,0,0,0,0,0/0,-
Bryan Barrett,New York Titans,D,16,0,5,5,18,0,0,0,61,0,0,0,0,0/0,-
Casey Powell,New York Titans,F,13,29,51,80,22,0,0,0,90,0,0,0,0,0/0,-
Curtis Palidwor,New York Titans,G,18,0,8,8,0,0,0,0,4,0,0,0,0,0/0,-
Erik Miller,New York Titans,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Gewas Schindler,New York Titans,F,14,12,25,37,8,0,0,0,31,0,0,0,0,0/0,-
Greg Peyser,New York Titans,,8,3,2,5,19,0,0,0,38,0,0,0,0,14/33,42%
Jarett Park,New York Titans,D,16,6,13,19,43,0,0,0,129,0,0,0,0,0/0,-
Jeff Spano,New York Titans,D,15,8,19,27,14,0,0,0,96,0,0,0,0,0/0,-
Joe Ghedina,New York Titans,D,9,1,6,7,4,0,0,0,40,0,0,0,0,123/239,51%
John Orsen,New York Titans,D,12,0,6,6,31,0,0,0,65,0,0,0,0,0/0,-
Keevin Galbraith,New York Titans,T,12,2,7,9,22,0,0,0,39,0,0,0,0,0/0,-
Matt Alrich,New York Titans,D,16,1,8,9,16,0,0,0,60,0,0,0,0,0/0,-
Matt Vinc,New York Titans,G,14,0,7,7,2,0,0,0,17,0,0,0,0,0/0,-
Matt Zash,New York Titans,T,9,5,8,13,0,0,0,0,46,0,0,0,0,29/80,36%
Mike McLellan,New York Titans,F,16,26,18,44,0,0,0,0,49,0,0,0,0,0/0,-
Nick Schroeder,New York Titans,G,10,0,2,2,0,0,0,0,1,0,0,0,0,0/0,-
Pat Maddalena,New York Titans,F,16,40,43,83,6,0,0,0,99,0,0,0,0,0/0,-
Richard Brzeski,New York Titans,D,16,0,0,0,42,0,0,0,16,0,0,0,0,0/0,-
Roy Colsey,New York Titans,F,4,1,10,11,2,0,0,0,12,0,0,0,0,0/0,-
Ryan Boyle,New York Titans,F,16,29,53,82,11,0,0,0,77,0,0,0,0,0/0,-
Tyler Francey,New York Titans,D,3,0,0,0,6,0,0,0,23,0,0,0,0,0/0,-
