Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position,Team
Anfernee Simons,70,70,32.7,19.3,0.4,2.3,2.7,4.8,0.9,0.1,2,1.7,2.4,6.8,16.1,42.6,3.1,8.5,36.3,2.5,2.8,90.2,3.8,7.6,49.6,1.198,0.52,FALSE,G,POR
Shaedon Sharpe,72,52,31.3,18.5,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,1.3,6.9,15.3,45.2,2,6.6,31.1,2.6,3.4,78.5,4.9,8.8,55.7,1.209,0.52,FALSE,G,POR
Deni Avdija,72,54,30,16.9,1.5,5.7,7.3,3.9,1,0.5,2.7,2.4,1.4,5.6,11.7,47.6,1.7,4.8,36.5,4,5.2,78,3.8,7,55.2,1.444,0.55,FALSE,F,POR
Jerami Grant,47,47,32.4,14.4,0.6,2.9,3.5,2.1,0.9,1,1.4,2.3,1.6,4.6,12.2,37.3,2.3,6.3,36.5,3,3.5,84.9,2.3,5.9,38.1,1.179,0.47,FALSE,F,POR
Deandre Ayton,40,40,30.2,14.4,3.1,7.1,10.2,1.6,0.8,1,1.7,2.2,0.9,6.6,11.7,56.6,0.2,0.8,18.8,1,1.5,66.7,6.5,10.9,59.4,1.231,0.57,FALSE,C,POR
Scoot Henderson,66,10,26.7,12.7,0.8,2.2,3,5.1,1,0.2,2.7,2.7,1.9,4.3,10.4,41.9,1.6,4.5,35.4,2.4,3.1,76.7,2.8,5.9,46.9,1.222,0.5,FALSE,G,POR
Toumani Camara,78,78,32.7,11.3,2.2,3.6,5.8,2.2,1.5,0.6,1.4,2.9,1.6,4.2,9.2,45.8,1.7,4.6,37.5,1.2,1.6,72.2,2.5,4.6,54.2,1.232,0.55,FALSE,F,POR
Dalano Banton,67,7,16.7,8.3,0.4,1.6,2,2.4,0.6,0.5,1.3,0.9,1.9,3,7.6,39.1,1.1,3.3,32.4,1.4,1.9,72.8,1.9,4.3,44.2,1.103,0.46,FALSE,G,POR
Matisse Thybulle,15,5,20.8,7.5,0.9,2.5,3.5,1.9,2.2,0.6,0.9,0.9,2.2,2.8,5.9,47.7,1.4,3.2,43.8,0.5,1,46.7,1.4,2.7,52.5,1.273,0.6,FALSE,G,POR
Donovan Clingan,67,37,19.8,6.5,3.2,4.6,7.9,1.1,0.5,1.6,1.1,2.8,1.1,2.7,5,53.9,0.2,0.7,28.6,0.9,1.6,59.6,2.5,4.3,58.2,1.305,0.56,FALSE,C,POR
Robert Williams III,20,3,17.6,5.8,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,1.2,2.5,3.9,64.1,0.1,0.2,33.3,0.8,0.9,88.2,2.5,3.8,65.3,1.487,0.65,FALSE,C,POR
Jabari Walker,60,1,12.5,5.2,1,2.5,3.5,0.6,0.6,0.1,0.6,1.5,1.1,2,3.8,51.5,0.5,1.2,38.9,0.8,1.2,69,1.5,2.6,57.3,1.367,0.58,FALSE,F,POR
Duop Reath,46,0,10.2,4.2,1,1,2,0.6,0.3,0.3,0.3,0.9,1.6,1.5,3.6,42.2,0.7,2.3,32.1,0.4,0.5,90.9,0.8,1.3,60,1.169,0.52,FALSE,C,POR
Kris Murray,69,6,15.1,4.2,1.1,1.5,2.6,1,0.5,0.2,0.6,1,1.6,1.7,4,41.9,0.4,1.7,22.5,0.4,0.8,45.6,1.3,2.3,56.6,1.029,0.47,FALSE,F,POR
Taze Moore,2,0,10,3,2,2,4,0.5,1,0,1,0,0.5,1,5,20,0.5,2,25,0.5,1,50,0.5,3,16.7,0.6,0.25,FALSE,G,POR
Rayan Rupert,52,0,8.8,3,0.5,0.8,1.3,0.5,0.3,0.1,0.6,0.7,0.8,1.1,2.7,40.8,0.3,1.1,27.1,0.4,0.6,76.7,0.8,1.6,50.6,1.092,0.46,FALSE,G,POR
Sidy Cissoko,5,0,12,2,1,1.2,2.2,1.8,0.2,0.2,1.8,0.8,1,0.8,2.4,33.3,0,1.2,0,0.4,0.6,66.7,0.8,1.2,66.7,0.833,0.33,TRUE,G,POR
Bryce McGowens,13,0,2.5,1,0.2,0.1,0.2,0.2,0.1,0,0.3,0.2,0.5,0.3,1.1,28.6,0,0.3,0,0.4,0.5,83.3,0.3,0.8,40,0.929,0.29,FALSE,G,POR
Justin Minaya,19,0,5.3,0.9,0.3,0.3,0.5,0.4,0.3,0.1,0.3,0.6,1.4,0.4,1.1,38.1,0.1,0.5,20,0,0.1,0,0.3,0.6,54.5,0.857,0.43,FALSE,F,POR
Total,82,,,110.9,13.4,31.4,44.8,23.8,8.3,5.3,15.1,19,1.6,40.5,90.2,45,12.9,37.7,34.2,16.9,22.2,76.2,27.7,52.5,52.7,1.229,0.52,FALSE,Total,POR
De'Aaron Fox,45,45,37,25,1,4,5,6.1,1.5,0.4,3,2.6,2.1,9.2,19.6,46.9,2,6.4,32.2,4.5,5.5,82.9,7.2,13.3,53.9,1.273,0.52,TRUE,G,SAC
Zach LaVine,32,32,36.6,22.4,0.3,3.2,3.5,3.8,0.6,0.1,2.7,1.8,1.4,8.2,16,51.1,3.2,7.2,44.6,2.8,3.2,87.4,5,8.8,56.4,1.398,0.61,TRUE,G,SAC
DeMar DeRozan,77,77,35.9,22.2,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,3.3,8.1,17,47.7,1.1,3.3,32.8,4.9,5.7,85.7,7,13.7,51.3,1.307,0.51,FALSE,G,SAC
Domantas Sabonis,70,70,34.7,19.1,3.8,10.1,13.9,6,0.7,0.4,2.9,3.3,2.1,7.5,12.8,59,0.9,2.2,41.7,3.1,4.1,75.4,6.6,10.5,62.7,1.497,0.63,FALSE,F,SAC
Malik Monk,65,45,31.6,17.2,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,2.3,6.3,14.4,43.9,2.1,6.6,32.5,2.4,2.7,86.5,4.2,7.9,53.4,1.19,0.51,FALSE,G,SAC
Keegan Murray,76,76,34.3,12.4,1.9,4.8,6.7,1.4,0.8,0.9,0.8,2.4,1.8,4.8,10.8,44.4,2,5.9,34.3,0.8,0.9,83.3,2.8,4.9,56.6,1.149,0.54,FALSE,F,SAC
Jonas Valanciunas,32,9,16.9,8.7,2.2,4.8,7,1.8,0.5,0.6,1,2.6,1.8,3.6,6.4,55.6,0,0.3,10,1.6,1.8,84.7,3.5,6.1,57.9,1.361,0.56,TRUE,C,SAC
Keon Ellis,80,28,24.4,8.3,0.8,1.9,2.7,1.5,1.5,0.8,0.9,2.2,1.7,2.8,5.8,48.9,1.7,4,43.3,0.9,1.1,84.9,1.1,1.8,61.5,1.435,0.64,FALSE,G,SAC
Kevin Huerter,43,15,20.9,7.9,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,2,3,7.2,41.3,1.4,4.8,30.2,0.5,0.7,71.4,1.5,2.4,62.9,1.09,0.51,TRUE,G,SAC
Trey Lyles,69,5,19.6,6.5,1.2,3.4,4.6,1.2,0.6,0.3,0.6,1.2,2.1,2.3,5.4,42,1.2,3.4,34,0.8,1.2,70,1.1,2,55.9,1.206,0.53,FALSE,PF,SAC
Jake LaRavia,19,0,19.3,6.1,1.2,1.6,2.8,1.3,0.9,0.2,0.9,2.1,1.5,2.2,5.1,43.8,1.1,2.7,38.5,0.6,1,57.9,1.2,2.3,50,1.198,0.54,TRUE,F,SAC
Devin Carter,36,0,11,3.8,0.5,1.6,2.1,1.1,0.6,0.1,0.5,1.1,2.3,1.3,3.5,37,0.5,1.7,29.5,0.7,1.2,59.1,0.8,1.8,43.9,1.087,0.44,FALSE,G,SAC
Doug McDermott,42,3,8.1,3.5,0.1,0.5,0.5,0.2,0.1,0,0.1,0.7,1.2,1.2,2.8,42.7,1,2.4,43.6,0.1,0.1,60,0.1,0.4,37.5,1.256,0.62,FALSE,F,SAC
Isaac Jones,40,0,7.6,3.4,0.6,0.9,1.4,0.3,0.1,0.3,0.4,0.8,0.8,1.4,2.1,65.1,0.1,0.2,37.5,0.6,0.9,63.9,1.3,1.9,68,1.614,0.67,FALSE,C,SAC
Markelle Fultz,21,0,8.8,2.9,0.3,0.7,1,1.3,0.5,0.1,0.7,0.6,1.8,1.3,3.2,41.8,0.2,0.4,50,0,0,100,1.1,2.8,40.7,0.91,0.45,FALSE,PG,SAC
Jae Crowder,9,2,11.4,2.6,0.7,1.6,2.2,0.7,0.3,0,0.4,1.1,1.5,0.8,2.4,31.8,0.4,1.7,26.7,0.6,0.7,83.3,0.3,0.8,42.9,1.045,0.41,FALSE,PF,SAC
Mason Jones,10,0,4.5,2.3,0.2,0.7,0.9,1.1,0,0.1,0.1,0.3,11,0.9,1.8,50,0.1,0.8,12.5,0.4,0.5,80,0.8,1,80,1.278,0.53,FALSE,G,SAC
Orlando Robinson,9,0,6.3,2.1,0.3,1.2,1.6,1,0.3,0.1,0.4,0.7,2.3,0.8,1.9,41.2,0.1,0.6,20,0.4,0.8,57.1,0.7,1.3,50,1.118,0.44,TRUE,C,SAC
Jordan McLaughlin,28,0,6.8,1.9,0.1,0.6,0.8,0.9,0.4,0,0.4,0.5,2.2,0.6,1.6,36.4,0.4,0.9,38.5,0.4,0.6,68.8,0.2,0.6,33.3,1.205,0.48,TRUE,G,SAC
Alex Len,36,3,7.2,1.4,0.7,1.1,1.8,0.8,0.2,0.5,0.3,1,2.7,0.6,1.1,53.7,0,0.2,16.7,0.2,0.4,53.8,0.6,1,60,1.268,0.55,TRUE,C,SAC
Skal Labissiere,4,0,3,1.3,0.3,0.5,0.8,0.3,0,0,0,0.3,inf,0.5,1,50,0.3,0.3,100,0,0,0,0.3,0.8,33.3,1.25,0.63,FALSE,C,SAC
Colby Jones,24,0,5.4,1.1,0.3,0.6,1,0.3,0.3,0.3,0.3,0.5,1,0.5,1.1,42.3,0.2,0.4,40,0,0,0,0.3,0.7,43.8,1,0.5,TRUE,G,SAC
Isaiah Crawford,15,0,3.1,0.9,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,1,0.3,0.7,45.5,0.1,0.3,20,0.1,0.3,50,0.3,0.4,66.7,1.182,0.5,FALSE,F,SAC
Terence Davis,1,0,8,0,0,1,1,1,0,0,0,0,inf,0,2,0,0,1,0,0,0,0,0,1,0,0,0,FALSE,G,SAC
Terry Taylor,3,0,2,0,0.3,0,0.3,0.7,0,0,0,0,inf,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,FALSE,F,SAC
Total,82,,,115.7,11,33.2,44.2,26.5,7.6,4.4,12.6,18.9,2.1,43,90.1,47.8,12.6,35.2,35.7,17.1,21.2,80.6,30.5,54.9,55.5,1.285,0.55,FALSE,Total,SAC
Victor Wembanyama,46,46,33.2,24.3,1.8,9.2,11,3.7,1.1,3.8,3.2,2.3,1.1,8.9,18.6,47.6,3.1,8.8,35.2,3.4,4.1,83.6,5.8,9.9,58.6,1.302,0.56,FALSE,F,SA
De'Aaron Fox,17,17,34,19.7,0.5,3.8,4.3,6.8,1.5,0.3,2.4,2.7,2.8,7.4,16.5,44.6,1.5,5.6,27.4,3.5,4.2,81.9,5.8,10.9,53.5,1.196,0.49,TRUE,G,SA
Devin Vassell,64,53,31,16.3,0.5,3.5,4,2.9,1.3,0.5,1.4,1.7,2.1,6.2,13.9,44.3,2.5,6.7,36.8,1.5,1.9,79.2,3.7,7.2,51.3,1.171,0.53,FALSE,G,SA
Stephon Castle,81,47,26.7,14.7,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2,1.9,5.2,12.2,42.8,1.2,4.1,28.5,3.1,4.2,72.4,4,8.1,50.1,1.204,0.48,FALSE,G,SA
Keldon Johnson,77,0,23.9,12.7,1.5,3.4,4.8,1.6,0.6,0.3,1,1.5,1.6,4.8,10,48.2,1.1,3.6,31.8,1.9,2.5,77.3,3.7,6.4,57.3,1.271,0.54,FALSE,F,SA
Harrison Barnes,82,82,27.2,12.3,1.2,2.6,3.8,1.7,0.5,0.2,0.6,0.9,2.7,4.2,8.3,50.8,1.9,4.4,43.3,2,2.4,80.9,2.3,3.9,59.1,1.48,0.62,FALSE,F,SA
Jeremy Sochan,54,23,25.3,11.4,2.4,4.2,6.5,2.4,0.8,0.5,1.6,2.4,1.5,4.6,8.7,53.5,0.5,1.7,30.8,1.6,2.3,69.6,4.1,7,59,1.316,0.57,FALSE,F,SA
Julian Champagnie,82,29,23.6,9.9,0.8,3.1,3.9,1.4,0.7,0.4,0.9,1.4,1.5,3.4,8.1,41.5,2.2,5.9,37.1,1,1.1,90.4,1.2,2.3,53,1.226,0.55,FALSE,F,SA
Chris Paul,82,82,28,8.8,0.4,3.2,3.6,7.4,1.3,0.3,1.6,1.8,4.7,3,7.1,42.7,1.7,4.5,37.7,1,1.1,92.4,1.3,2.6,51.4,1.24,0.55,FALSE,G,SA
