Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position,Team
Jakob Poeltl,57,56,29.6,14.5,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,1.4,6.4,10.2,62.7,0,0.1,33.3,1.7,2.5,67.4,6.4,10.1,62.8,1.423,0.63,FALSE,C,TOR
Gradey Dick,54,54,29.4,14.4,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,1.2,4.9,12,41,2.1,6,35,2.5,2.9,85.8,2.8,5.9,47,1.201,0.5,FALSE,G,TOR
Jared Rhoden,10,2,21.5,11.4,1.2,2.6,3.8,1.4,0.9,0.2,0.8,1.9,1.8,4,7.9,50.6,1.2,3.7,32.4,2.2,2.5,88,2.8,4.2,66.7,1.443,0.58,TRUE,G,TOR
Ochai Agbaji,64,45,27.2,10.4,1,2.8,3.8,1.5,0.9,0.5,0.8,2,1.8,4.2,8.3,49.8,1.6,4,39.9,0.5,0.8,70.8,2.6,4.4,58.7,1.249,0.59,FALSE,G,TOR
Chris Boucher,50,0,17.2,10,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,1.1,3.6,7.4,49.2,1.4,3.9,36.3,1.4,1.7,78.2,2.2,3.5,63.3,1.357,0.59,FALSE,F,TOR
A.J. Lawson,26,2,18.7,9.1,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,2.1,3.1,7.3,42.1,1.3,3.9,32.7,1.7,2.4,68.3,1.8,3.4,52.8,1.242,0.51,FALSE,G,TOR
Ja'Kobe Walter,52,18,21.2,8.6,1.1,1.9,3.1,1.6,0.8,0.2,1,1.8,1.6,3.1,7.6,40.5,1.3,3.6,34.9,1.3,1.6,79.5,1.8,4,45.4,1.142,0.49,FALSE,G,TOR
Bruce Brown,18,0,19.6,8.4,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,1.5,3.2,7.3,43.5,0.6,2,30.6,1.4,1.6,89.7,2.6,5.3,48.4,1.153,0.48,TRUE,G,TOR
Orlando Robinson,35,8,20.4,8.1,2.5,3.4,5.9,1.9,0.4,0.4,1.3,2.7,1.5,3.1,7,44.7,0.5,1.3,34,1.4,1.8,79.4,2.7,5.6,47.2,1.164,0.48,TRUE,C,TOR
Cole Swider,8,0,19.5,7.4,0.6,2.5,3.1,0.3,0.5,0.3,0.5,1.4,0.5,2.8,7.3,37.9,1.9,5.3,35.7,0,0.1,0,0.9,2,43.8,1.017,0.51,TRUE,F,TOR
Colin Castleton,11,4,26.2,7.2,3.1,3.8,6.9,1.6,0.5,0.7,1.9,2.9,0.9,2.9,5.8,50,0.2,0.7,25,1.2,1.6,72.2,2.7,5.1,53.6,1.234,0.52,TRUE,C,TOR
Kelly Olynyk,24,2,16,7.1,1,2.7,3.7,2.3,0.7,0.3,1.5,2.5,1.6,2.5,4.9,50,0.8,1.8,44.2,1.4,1.8,79.1,1.7,3.1,53.3,1.449,0.58,TRUE,F,TOR
Jamal Shead,75,11,19.6,7.1,0.4,1.1,1.5,4.2,0.8,0.1,1.6,2.1,2.7,2.7,6.7,40.5,1,3,32.3,0.7,0.9,76.8,1.8,3.7,47,1.058,0.48,FALSE,G,TOR
Jamison Battle,59,10,17.7,7.1,0.6,2.1,2.7,0.9,0.3,0.2,0.5,1.6,2,2.5,5.9,42.9,1.8,4.4,40.5,0.3,0.3,88.9,0.7,1.5,50,1.207,0.58,FALSE,F,TOR
Davion Mitchell,44,22,24.5,6.3,0.4,1.6,1.9,4.6,0.7,0.2,1.8,2.6,2.6,2.4,5.5,43.4,1,2.7,35.9,0.6,0.8,67.6,1.5,2.9,50.4,1.143,0.52,TRUE,G,TOR
Jonathan Mogbo,63,18,20.4,6.2,1.7,3.2,4.9,2.3,0.9,0.5,1.1,2.2,2.1,2.5,5.7,43.8,0.3,1.1,24.3,1,1.3,73.2,2.2,4.5,48.6,1.093,0.46,FALSE,F,TOR
Bruno Fernando,17,2,8.6,3.4,1.2,1.8,3,1.1,0.2,0.5,0.8,1.6,1.3,1.5,2.9,53.1,0,0,0,0.4,0.5,75,1.5,2.9,53.1,1.184,0.53,FALSE,F,TOR
Garrett Temple,28,0,8.1,1.9,0.3,0.7,1,1.1,0.6,0.1,0.4,0.8,3.1,0.6,2.1,30,0.2,1,21.4,0.4,0.4,91.7,0.4,1.1,37.5,0.883,0.35,FALSE,G,TOR
D.J. Carton,4,0,8.3,0.8,0,1,1,0.8,0.5,0,1,0.3,0.8,0.3,1.8,14.3,0,0.8,0,0.3,0.3,100,0.3,1,25,0.429,0.14,FALSE,G,TOR
Ulrich Chomche,7,0,4.6,0.7,0.6,0.6,1.1,0.3,0,0.1,0.3,0.7,1,0.3,0.7,40,0,0,0,0.1,0.3,50,0.3,0.7,40,1,0.4,FALSE,C,TOR
Total,82,,,110.9,12.6,32.5,45.1,28.5,8.1,4.2,14.7,21.2,1.9,41.6,91,45.8,11.8,34,34.8,15.8,21.1,74.8,29.8,57,52.3,1.218,0.52,FALSE,Total,TOR
Lauri Markkanen,47,47,31.4,19,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,1.1,6.3,14.9,42.3,2.9,8.5,34.6,3.4,3.9,87.6,3.4,6.4,52.5,1.274,0.52,FALSE,F,UTAH
John Collins,40,31,30.5,19,2.2,6,8.2,2,1,1,2.6,2.9,0.8,7,13.3,52.7,1.5,3.7,39.9,3.5,4.1,84.8,5.5,9.6,57.7,1.427,0.58,FALSE,F,UTAH
Collin Sexton,63,61,27.9,18.4,1,1.8,2.7,4.2,0.7,0.1,2.5,2.3,1.7,6.6,13.8,48,1.7,4.3,40.6,3.4,4,86.5,4.9,9.5,51.3,1.337,0.54,FALSE,G,UTAH
Keyonte George,67,35,31.5,16.8,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,2.1,5.4,13.7,39.1,2.6,7.6,34.3,3.5,4.3,81.8,2.8,6.1,44.9,1.224,0.49,FALSE,G,UTAH
Jordan Clarkson,37,9,26,16.2,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,1.6,5.4,13.3,40.8,2.3,6.3,36.2,3.1,3.9,79.7,3.2,7.1,44.8,1.217,0.49,FALSE,G,UTAH
Walker Kessler,58,58,30,11.1,4.6,7.6,12.2,1.7,0.6,2.4,1.5,2.2,1.1,4.8,7.2,66.3,0.1,0.6,17.6,1.4,2.6,52,4.7,6.6,70.6,1.53,0.67,FALSE,C,UTAH
Brice Sensabaugh,71,15,20.2,10.9,0.6,2.4,3,1.5,0.6,0.1,1.5,1.6,1,3.9,8.4,45.9,2.2,5.2,42.2,0.9,1,89,1.7,3.2,52,1.289,0.59,FALSE,F,UTAH
Kyle Filipowski,72,27,21.1,9.6,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,1.4,3.6,7.2,50.2,1.1,3.1,35,1.3,2,65,2.5,4.1,61.4,1.332,0.58,FALSE,F,UTAH
Johnny Juzang,64,18,19.8,8.9,0.7,2.2,2.9,1.1,0.6,0.1,0.6,2,1.9,3.2,7.4,42.9,1.8,4.9,37.6,0.7,0.8,84.9,1.3,2.5,53.4,1.202,0.55,FALSE,G,UTAH
Svi Mykhailiuk,38,13,20,8.8,0.6,1.8,2.4,2,0.5,0.2,1.4,1.1,1.5,3.1,7.9,39.1,1.8,5.3,34.5,0.7,0.9,80,1.3,2.6,48.5,1.106,0.51,FALSE,G,UTAH
Isaiah Collier,71,46,25.9,8.7,0.5,2.9,3.3,6.3,0.9,0.2,2.9,2.1,2.1,3.3,7.8,42.2,0.6,2.4,24.9,1.5,2.2,68.2,2.7,5.4,49.7,1.108,0.46,FALSE,G,UTAH
Oscar Tshiebwe,14,1,18.2,7.6,3.3,5.4,8.7,0.6,0.9,0.1,0.7,1.7,0.9,3,5,60,0,0,0,1.6,2.2,74.2,3,5,60,1.529,0.6,FALSE,C,UTAH
KJ Martin,19,9,22.7,6.3,0.5,2.3,2.8,1.5,0.3,0.3,0.6,2.1,2.4,2.6,5.4,49,0.4,1.9,18.9,0.7,0.9,72.2,2.3,3.4,66.2,1.176,0.52,TRUE,F,UTAH
Drew Eubanks,37,4,15.4,5.8,1.1,3.5,4.5,1.2,0.3,0.9,0.8,1.2,1.5,2.4,3.9,60.7,0.1,0.1,60,1,1.5,63.2,2.3,3.8,60.7,1.483,0.62,TRUE,F,UTAH
Taylor Hendricks,3,3,25,4.7,1.7,3.3,5,0.7,1.7,1.3,0.7,2.7,1,1.3,6,22.2,1,4,25,1,1.3,75,0.3,2,16.7,0.778,0.31,FALSE,F,UTAH
Cody Williams,50,21,21.2,4.6,0.5,1.7,2.3,1.2,0.5,0.3,0.9,1.9,1.3,1.7,5.1,32.3,0.7,2.7,25.9,0.6,0.8,72.5,1,2.4,39.3,0.895,0.39,FALSE,F,UTAH
Patty Mills,17,0,15.3,4.4,0.2,1.1,1.2,1.2,0.7,0.2,0.9,0.7,1.3,1.5,4.5,34.2,1,3.4,29.8,0.3,0.3,100,0.5,1.1,47.4,0.974,0.45,TRUE,PG,UTAH
Micah Potter,38,10,18.6,4.3,1.1,3.2,4.3,0.8,0.4,0.4,0.8,1.3,1,1.5,3.6,42.2,0.8,2.6,31.6,0.4,0.5,85,0.7,1,70.3,1.2,0.54,FALSE,C,UTAH
Jaden Springer,17,2,13.2,3.8,0.8,1.2,2,1.4,0.7,0.2,0.7,1.5,1.9,1.4,3.3,41.1,0.4,1.7,20.7,0.7,1,70.6,1,1.6,63,1.143,0.46,TRUE,G,UTAH
Elijah Harkless,10,0,13.8,3.2,0.9,1.2,2.1,0.8,1,0.1,0.3,1.8,2.7,1.1,3.5,31.4,0.7,2.5,28,0.3,0.6,50,0.4,1,40,0.914,0.41,FALSE,G,UTAH
Total,82,,,111.9,12,33.4,45.4,25.5,6.8,4.4,16.5,18.9,1.6,40.3,88.7,45.4,14,39.8,35,17.3,22.4,77.4,26.4,48.8,54,1.262,0.53,FALSE,Total,UTAH
Jordan Poole,68,68,29.4,20.5,0.5,2.5,3,4.5,1.3,0.4,3,3,1.5,6.7,15.5,43.2,3.5,9.1,37.8,3.6,4,88.3,3.3,6.4,51,1.316,0.54,FALSE,G,WSH
Kyle Kuzma,32,30,27.7,15.2,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,1.1,6,14.2,42,1.4,5,28.1,1.8,3.1,60.2,4.6,9.2,49.5,1.068,0.47,TRUE,F,WSH
Alex Sarr,67,67,27.1,13,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,1.4,4.9,12.4,39.4,1.6,5.1,30.8,1.7,2.5,67.9,3.3,7.3,45.4,1.05,0.46,FALSE,C,WSH
Malcolm Brogdon,24,13,23.5,12.7,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,2.6,4.3,10,43.3,0.7,2.3,28.6,3.4,3.8,88,3.7,7.7,47.8,1.271,0.47,FALSE,G,WSH
Bilal Coulibaly,59,59,33,12.3,1.5,3.4,5,3.4,1.3,0.7,2.1,2.4,1.6,4.5,10.6,42.1,1.1,3.8,28.1,2.3,3.1,74.6,3.4,6.8,50,1.165,0.47,FALSE,G,WSH
Corey Kispert,61,0,26.3,11.6,0.6,2.4,3,1.7,0.4,0.2,1,1.6,1.6,4.2,9.3,45.1,2,5.4,36.4,1.2,1.4,85.2,2.2,3.9,57.4,1.248,0.56,FALSE,F,WSH
Jonas Valanciunas,49,12,20,11.5,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2,1.2,4.7,8.6,54.7,0.1,0.6,25.9,1.9,2.2,89.6,4.6,8.1,56.7,1.336,0.56,TRUE,C,WSH
Khris Middleton,14,14,22.1,10.7,0.6,3.1,3.7,3.4,1.3,0.2,1.4,1.6,2.5,3.7,9,41.3,0.9,3.4,27.7,2.4,2.7,86.8,2.8,5.6,49.4,1.19,0.46,TRUE,F,WSH
Bub Carrington,82,57,30,9.8,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,2.6,3.7,9.1,40.1,1.7,5,33.9,0.8,1,81.2,2,4.2,47.5,1.079,0.49,FALSE,G,WSH
Tristan Vukcevic,35,1,14.7,9.4,0.7,3,3.7,1.1,0.3,0.7,1.2,1.6,0.9,3.4,6.9,49.6,1.1,2.9,37.3,1.5,1.9,77.6,2.3,4,58.6,1.364,0.57,FALSE,F,WSH
Marcus Smart,15,1,18.7,9.3,0.3,1.7,1.9,2.5,1.1,0.2,1.3,1.5,2,3.2,7.3,44,1.3,3.4,39.2,1.6,2.3,68.6,1.9,3.9,48.3,1.284,0.53,TRUE,G,WSH
AJ Johnson,22,11,27,9.1,0.4,2,2.4,3.1,0.5,0.1,1.4,2.3,2.2,3.4,8.8,38.1,1,3.9,24.7,1.4,1.6,88.6,2.4,5,48.6,1.031,0.44,TRUE,G,WSH
Justin Champagnie,62,31,21.6,8.8,1.8,3.9,5.7,1,1,0.6,0.9,1.8,1.1,3.4,6.6,51.1,1.2,3.1,38.3,0.8,1.2,68.5,2.2,3.5,62.4,1.324,0.6,FALSE,F,WSH
Colby Jones,15,0,25.7,8.7,0.9,3.4,4.3,2.5,1.3,0.4,1.1,1.6,2.3,3.2,6.9,46.6,0.8,2.6,30.8,1.5,2.3,65.7,2.4,4.3,56.3,1.272,0.52,TRUE,G,WSH
Kyshawn George,68,38,26.5,8.7,0.7,3.5,4.2,2.5,1,0.7,1.4,3,1.7,3,8,37.2,1.7,5.2,32.2,1,1.4,75.3,1.3,2.8,46.4,1.081,0.48,FALSE,F,WSH
Richaun Holmes,31,7,17.2,7.4,2,3.7,5.7,1.4,0.3,0.7,0.7,1.6,2,2.9,4.5,64.7,0,0.1,0,1.6,1.9,83.3,2.9,4.4,66.2,1.655,0.65,FALSE,F,WSH
Jared Butler,32,0,11.3,6.9,0.4,0.8,1.3,2.6,0.4,0.2,0.9,1.3,2.8,2.7,5.5,48.3,0.5,1.3,36.6,1.1,1.4,77.8,2.2,4.2,51.9,1.25,0.53,TRUE,G,WSH
Jaylen Martin,13,0,18,5.8,0.8,2.5,3.4,1.3,0.7,0,0.9,1,1.4,2.3,5.5,41.7,0.5,1.7,27.3,0.7,0.8,90,1.8,3.8,48,1.042,0.46,TRUE,G,WSH
Marvin Bagley III,19,1,8.7,4.9,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,0.6,2,3.7,53.5,0.1,0.5,20,0.8,1.2,65.2,1.9,3.2,59,1.31,0.55,TRUE,F,WSH
JT Thor,11,0,18.8,3.9,1.5,2.3,3.8,0.5,0.5,0.5,0.3,1,1.7,1.5,4,36.4,0.3,1.4,20,0.7,1.3,57.1,1.2,2.6,44.8,0.977,0.4,TRUE,F,WSH
Anthony Gill,51,0,7.8,2.5,0.4,0.9,1.3,0.3,0.2,0,0.2,0.6,1.6,0.8,1.7,48.9,0.2,0.6,32.3,0.6,1,66,0.6,1.1,57.9,1.466,0.55,FALSE,F,WSH
Johnny Davis,34,0,7.1,2.4,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,1.6,0.9,2.3,41,0.2,0.9,24.1,0.3,0.4,60,0.7,1.4,51,1.026,0.46,FALSE,G,WSH
Patrick Baldwin Jr.,22,0,4.6,2.1,0.2,0.8,1,0.1,0.1,0.1,0.2,0.2,0.4,0.8,1.5,51.5,0.5,1,52.4,0.1,0.2,50,0.3,0.5,50,1.424,0.68,TRUE,G,WSH
Jalen McDaniels,4,0,1.8,0,0,0,0,0.3,0.3,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,F,WSH
Total,82,,,108,10.6,33.1,43.7,25.1,7.6,5.1,14.9,19.7,1.7,39.4,89.9,43.9,13.1,39.1,33.5,16,20.6,77.8,26.3,50.7,51.9,1.201,0.51,FALSE,Total,WSH
