Name,Team,P,G,A
Adalberto Carrasquilla,Houston Dynamo FC,0.0,0.0,8.0
Aidan Morris,Columbus Crew,0.0,0.0,7.0
Alan Pulido,Sporting Kansas City,28.0,14.0,0.0
Alejandro Bedoya,Philadelphia Union,0.0,0.0,7.0
Alexandru Matan,Columbus Crew,0.0,0.0,11.0
Amine Bassi,Houston Dynamo FC,28.0,10.0,0.0
Andres Gomez,Real Salt Lake,0.0,0.0,6.0
Bobby Wood,New England Revolution,29.0,7.0,0.0
Bongokuhle Hlongwane,Minnesota United FC,30.0,8.0,0.0
Brandon Vázquez,FC Cincinnati,29.0,8.0,0.0
Brian Gutiérrez,Chicago Fire FC,0.0,0.0,10.0
Brian White,Vancouver Whitecaps,32.0,15.0,0.0
Brooks Lennon,Atlanta United FC,0.0,0.0,10.0
Carles Gil,New England Revolution,32.0,11.0,15.0
Carlos Vela,LAFC,34.0,9.0,12.0
Christian Benteke,D.C. United,31.0,14.0,0.0
Christian Ramírez,Columbus Crew,30.0,8.0,0.0
Connor Ronan,Colorado Rapids,0.0,0.0,11.0
Corey Baird,Houston Dynamo FC,34.0,8.0,6.0
Cristian Espinoza,San Jose Earthquakes,34.0,13.0,13.0
Cucho Hernández,Columbus Crew,27.0,16.0,11.0
Dani Pereira,Austin FC,0.0,0.0,8.0
Dejan Joveljic,LA Galaxy,32.0,6.0,0.0
Denis Bouanga,LAFC,31.0,20.0,7.0
Diego Fagundez,LA Galaxy,0.0,0.0,6.0
Douglas Costa,LA Galaxy,0.0,0.0,10.0
Duncan McGuire,Orlando City SC,29.0,13.0,0.0
Dániel Gazdag,Philadelphia Union,32.0,14.0,11.0
Dániel Sallói,Sporting Kansas City,34.0,7.0,10.0
Eduard Löwen,St. Louis CITY SC,29.0,6.0,14.0
Emiliano Rigoni,Austin FC,0.0,0.0,6.0
Erik Thommy,Sporting Kansas City,0.0,0.0,11.0
Evander,Portland Timbers,27.0,9.0,0.0
Facundo Torres,Orlando City SC,30.0,14.0,6.0
Franck Boli,Portland Timbers,29.0,7.0,0.0
Giorgos Giakoumakis,Atlanta United FC,27.0,17.0,0.0
Gustavo Bou,New England Revolution,19.0,7.0,0.0
Hany Mukhtar,Nashville SC,34.0,15.0,11.0
Héctor Herrera,Houston Dynamo FC,0.0,0.0,17.0
Iván Angulo,Orlando City SC,0.0,0.0,8.0
Jared Stroud,St. Louis CITY SC,0.0,0.0,6.0
Jefferson Savarino,Real Salt Lake,24.0,7.0,0.0
Jeremy Ebobisse,San Jose Earthquakes,34.0,10.0,0.0
Jesús Ferreira,FC Dallas,27.0,12.0,7.0
Johnny Russell,Sporting Kansas City,25.0,8.0,0.0
Jon Gallagher,Austin FC,0.0,0.0,8.0
Jordan Morris,Seattle Sounders FC,26.0,11.0,0.0
Josef Martínez,Inter Miami CF,27.0,7.0,0.0
João Klauss,St. Louis CITY SC,19.0,10.0,0.0
Juan Mosquera,Portland Timbers,0.0,0.0,6.0
Julian Gressel,Columbus Crew,0.0,0.0,6.0
Julián Carranza,Philadelphia Union,31.0,14.0,6.0
Justin Meram,Charlotte FC,0.0,0.0,6.0
Kai Wagner,Philadelphia Union,0.0,0.0,7.0
Kamil Jozwiak,Charlotte FC,0.0,0.0,7.0
Karol Swiderski,Charlotte FC,31.0,12.0,0.0
Kwadwo Opoku,CF Montréal,30.0,6.0,0.0
Leonardo Campana,Inter Miami CF,26.0,9.0,0.0
Lucas Zelarayán,MLS All-Stars,20.0,10.0,7.0
Luciano Acosta,FC Cincinnati,32.0,17.0,14.0
Léo Chú,Seattle Sounders FC,0.0,0.0,8.0
Maren Haile-Selassie,Chicago Fire FC,32.0,6.0,0.0
Martín Ojeda,Orlando City SC,34.0,6.0,10.0
Mateusz Klich,D.C. United,0.0,0.0,9.0
Mauricio Pereyra,Orlando City SC,0.0,0.0,12.0
Mikkel Uhre,Philadelphia Union,33.0,9.0,0.0
Nicholas Gioacchini,St. Louis CITY SC,32.0,10.0,0.0
Nicolás Lodeiro,Seattle Sounders FC,0.0,0.0,10.0
Omir Fernández,Red Bull New York,30.0,6.0,0.0
Ricard Puig,LA Galaxy,29.0,7.0,8.0
Richie Laryea,Vancouver Whitecaps,0.0,0.0,6.0
Robert Taylor,Inter Miami CF,0.0,0.0,7.0
Ryan Gauld,Vancouver Whitecaps,32.0,11.0,13.0
Samuel Adeniran,St. Louis CITY SC,18.0,8.0,0.0
Santiago Moreno,Portland Timbers,0.0,0.0,9.0
Santiago Rodríguez,New York City FC,0.0,0.0,8.0
Sebastián Driussi,Austin FC,28.0,11.0,0.0
Teemu Pukki,Minnesota United FC,14.0,10.0,0.0
Thiago Almada,Atlanta United FC,31.0,11.0,19.0
Tyler Boyd,LA Galaxy,34.0,7.0,0.0
Álvaro Barreal,FC Cincinnati,0.0,0.0,9.0
