Name,Year,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Haley Peters,2025,F,33,11.5,2.1,0.8,2.5,30.5,0.2,1.2,20.5,0.3,0.4,76.9,2.2,0.8,0.3,0.1,0.7
Isabelle Harrison,2025,F,34,10.6,4.9,1.9,3.9,48.5,0.1,0.4,26.7,1.0,1.3,76.7,2.6,0.7,0.6,0.1,0.7
Jackie Young,2025,G,44,30.4,16.5,5.9,12.4,47.5,1.8,5.1,35.9,2.9,3.2,89.4,4.5,5.1,1.3,0.4,2.2
Jade Melbourne,2025,G,43,23.4,5.9,2.1,5.2,40.0,0.6,2.2,27.4,1.1,1.7,67.1,1.9,2.9,0.6,0.2,1.7
Janelle Salaun,2025,F,36,27.0,11.3,4.1,10.1,40.6,1.8,4.8,36.6,1.4,1.7,80.6,5.1,1.2,0.6,0.1,1.5
Jessica Shepard,2025,F,40,20.9,8.0,3.3,5.2,63.8,0.0,0.0,0.0,1.4,2.6,54.4,7.3,2.6,0.5,0.1,1.5
Jewell Loyd,2025,G,44,28.3,11.2,3.8,9.7,38.9,2.3,6.0,38.2,1.3,1.6,83.1,3.2,1.8,1.2,0.3,1.2
JJ Quinerly,2025,G,34,15.9,6.5,2.4,5.5,42.6,0.6,1.6,38.9,1.1,1.3,86.7,1.9,2.3,0.9,0.2,1.5
Jonquel Jones,2025,C,31,26.8,13.6,4.8,9.9,49.0,1.7,4.0,42.4,2.3,2.9,76.9,8.1,2.7,0.5,1.1,2.1
Julie Allemand,2025,G,34,28.3,5.4,2.1,4.7,44.0,0.8,3.0,27.7,0.4,0.6,78.9,3.7,5.0,1.3,0.0,1.6
Julie Vanloo,2025,G,35,12.8,2.8,0.9,3.2,29.7,0.7,2.6,27.2,0.2,0.3,80.0,0.9,1.9,0.4,0.0,1.4
Kaila Charles,2025,G,35,17.6,6.4,2.3,5.4,42.0,0.7,2.1,34.7,1.1,1.4,81.6,4.3,1.0,0.8,0.2,1.1
Kamilla Cardoso,2025,C,40,27.6,13.6,5.6,10.6,52.8,0.0,0.1,50.0,2.4,3.3,72.2,8.5,2.5,0.4,1.2,2.4
Kate Martin,2025,G,42,16.4,6.2,2.0,6.3,32.3,1.4,4.4,31.0,0.8,1.0,78.0,2.7,1.0,0.4,0.1,0.8
Kathryn Westbeld,2025,F,43,18.4,5.1,1.8,5.0,35.8,1.0,3.0,32.1,0.6,0.7,78.1,2.5,0.9,0.8,0.6,0.6
Kayla McBride,2025,G,39,31.3,14.2,4.6,11.0,41.6,2.6,6.7,39.5,2.4,2.7,90.5,2.3,3.5,1.3,0.1,1.7
Kelsey Mitchell,2025,G,44,31.4,20.2,7.2,15.7,45.6,2.5,6.4,39.4,3.4,4.3,78.4,1.8,3.4,0.9,0.2,1.8
Kelsey Plum,2025,G,43,35.1,19.5,6.1,14.4,42.2,2.3,6.5,35.5,5.1,5.7,89.3,3.1,5.7,1.2,0.1,3.0
Kennedy Burke,2025,F,36,21.6,8.1,2.8,6.1,46.8,1.3,3.1,41.4,1.1,1.5,75.9,2.4,1.3,0.8,0.4,0.9
Kia Nurse,2025,G,44,21.9,7.2,2.3,6.6,35.4,1.4,4.1,33.5,1.1,1.4,79.0,2.3,1.3,0.3,0.0,1.3
Kiah Stokes,2025,C,40,12.9,1.1,0.5,1.3,35.3,0.1,0.6,13.0,0.1,0.2,62.5,3.6,0.4,0.4,0.4,0.4
Kierstan Bell,2025,F,35,12.2,4.2,1.5,4.4,33.8,0.9,2.9,29.1,0.3,0.4,80.0,1.8,0.7,0.4,0.3,0.5
Kiki Iriafen,2025,F,44,26.9,13.3,5.0,10.3,48.8,0.0,0.3,18.2,3.1,4.0,78.4,8.5,1.6,0.6,0.2,2.2
Kitija Laksa,2025,G,33,19.0,5.9,2.0,5.5,36.7,1.2,3.6,31.7,0.8,1.0,81.3,1.2,0.6,0.4,0.2,0.6
Leonie Fiebich,2025,F,37,28.1,8.7,2.9,6.0,48.9,1.4,3.2,42.5,1.5,1.7,87.1,3.5,1.7,0.9,0.4,1.2
Lexi Held,2025,G,32,14.7,5.3,1.9,5.1,37.8,0.9,2.8,30.8,0.6,0.7,81.8,1.1,1.1,0.7,0.2,0.9
Lexie Hull,2025,G,44,27.0,7.2,2.7,6.8,39.5,1.3,3.4,36.7,0.6,0.8,72.2,4.3,1.8,1.2,0.2,0.9
Li Yueru,2025,C,31,16.8,6.0,2.0,4.9,40.5,0.6,1.8,36.4,1.4,1.6,86.0,4.5,0.9,0.3,0.3,1.0
