Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Ari Steenhuis,San Diego Seals,T,14,2,1,3,9,0,0,0,27,5,3,0,8,0/0,-
Ben McIntosh,San Diego Seals,F,12,18,21,39,2,6,3,0,39,23,0,2,91,0/0,-
Cameron Dunkerley,San Diego Seals,G,15,0,2,2,2,0,1,0,0,1,0,0,0,0/0,-
Christopher Origlieri,San Diego Seals,G,14,0,4,4,0,0,0,0,4,3,0,0,0,0/0,-
Connor Robinson,San Diego Seals,F,15,19,24,43,0,3,12,2,49,25,2,0,103,0/0,-
Corey Small,San Diego Seals,F,7,5,12,17,0,3,5,0,15,14,0,0,43,0/0,-
Danny Logan,San Diego Seals,D,14,1,2,3,18,0,0,0,79,12,20,7,13,0/0,-
Dylan Watson,San Diego Seals,F,14,19,17,36,6,4,4,0,26,28,2,0,78,0/0,-
Eli Gobrecht,San Diego Seals,D,15,1,3,4,23,0,0,0,71,9,11,10,1,0/0,-
Graydon Bradley,San Diego Seals,D,15,1,3,4,18,0,0,0,57,3,8,10,4,0/0,-
Jake Govett,San Diego Seals,F,1,0,2,2,0,0,0,0,1,0,1,0,0,0/0,-
James Barclay,San Diego Seals,D,14,1,4,5,10,0,0,0,48,2,4,16,5,0/0,-
Kellen LeClair,San Diego Seals,D,2,0,0,0,0,0,0,0,5,0,0,0,0,0/0,-
Marquez White,San Diego Seals,D,4,1,1,2,4,0,0,0,8,0,2,0,1,0/0,-
Matthew Wright,San Diego Seals,D,9,1,1,2,6,0,0,0,32,1,8,3,5,0/0,-
Noah Armitage,San Diego Seals,F,5,3,5,8,0,0,0,0,16,1,0,0,22,0/0,-
Pat Kavanagh,San Diego Seals,F,9,8,18,26,8,0,1,1,36,23,4,0,63,0/0,-
Patrick Shoemay,San Diego Seals,D,15,0,2,2,17,0,1,0,62,9,9,7,2,0/0,-
Tre Leclaire,San Diego Seals,F,15,27,32,59,18,5,6,0,71,31,11,1,133,0/0,-
Trent DiCicco,San Diego Seals,T,15,0,9,9,14,0,0,0,63,20,6,5,27,0/0,-
Trevor Baptiste,San Diego Seals,T,15,2,4,6,6,0,0,0,119,15,11,3,10,270/361,75%
Tyden Redlick,San Diego Seals,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Wesley Berg,San Diego Seals,F,15,22,39,61,4,7,15,0,72,35,3,0,139,0/0,-
Zach Currier,San Diego Seals,T,15,14,25,39,12,0,1,0,169,44,21,10,64,0/0,-
Zack Deaken,San Diego Seals,D,12,1,2,3,8,0,0,0,33,1,7,4,2,0/0,-
