Name,Team,P,G,A
Aimé Mabika,Toronto FC,12,0,0
Alonso Coello,Toronto FC,25,1,2
Ayo Akinola,Toronto FC,5,0,0
Brandon Servania,Toronto FC,3,0,0
Deandre Kerr,Toronto FC,26,3,2
Derrick Etienne Jr.,Toronto FC,25,3,0
Deybi Flores,Toronto FC,29,1,2
Federico Bernardeschi,Toronto FC,29,8,8
Henry Wingo,Toronto FC,4,0,1
Jonathan Osorio,Toronto FC,22,2,3
Kevin Long,Toronto FC,26,0,0
Kobe Franklin,Toronto FC,21,0,1
Kosi Thompson,Toronto FC,29,0,0
Lorenzo Insigne,Toronto FC,23,4,6
Luka Gavran,Toronto FC,9,0,0
Matthew Longstaff,Toronto FC,32,2,3
Nickseon Gomis,Toronto FC,24,0,0
Prince Owusu,Toronto FC,31,9,0
Raoul Petretta,Toronto FC,27,1,3
Richie Laryea,Toronto FC,12,1,2
Sean Johnson,Toronto FC,25,0,0
Shane O'Neill,Toronto FC,20,0,0
Sigurd Rosted,Toronto FC,25,0,0
Tyrese Spicer,Toronto FC,19,2,2
