Name,Team,P,G,A
Albert Rusnák,Seattle Sounders FC,35,10,16
Alex Roldan,Seattle Sounders FC,33,1,1
Andy Thomas,Seattle Sounders FC,7,0,0
Cody Baker,Seattle Sounders FC,13,0,1
Cristian Roldan,Seattle Sounders FC,37,2,3
Daniel Leyva,Seattle Sounders FC,14,0,1
Daniel Musovski,Seattle Sounders FC,25,1,1
Dylan Teves,Seattle Sounders FC,6,1,0
Georgi Minoungou,Seattle Sounders FC,14,1,2
Jackson Ragen,Seattle Sounders FC,37,3,1
Jon Bell,Seattle Sounders FC,11,1,0
Jordan Morris,Seattle Sounders FC,37,14,5
Joshua Atencio,Seattle Sounders FC,24,0,1
João Paulo,Seattle Sounders FC,25,0,1
Léo Chú,Seattle Sounders FC,15,1,2
Nathan Cardoso,Seattle Sounders FC,6,0,0
Nouhou Tolo,Seattle Sounders FC,30,0,1
Obed Vargas,Seattle Sounders FC,33,1,7
Paul Rothrock,Seattle Sounders FC,27,5,2
Pedro de la Vega,Seattle Sounders FC,20,1,1
Raúl Ruidíaz,Seattle Sounders FC,28,8,1
Reed Baker-Whiting,Seattle Sounders FC,25,0,0
Stefan Frei,Seattle Sounders FC,33,0,0
Yeimar Gómez,Seattle Sounders FC,33,1,0
