Name,Team,P,G,A
Aaron-Salem Boupendza,FC Cincinnati,14,2,2
Alec Kann,FC Cincinnati,3,0,0
Alvas Powell,FC Cincinnati,23,0,0
Bret Halsey,FC Cincinnati,21,0,0
Chidozie Awaziem,FC Cincinnati,10,0,2
Corey Baird,FC Cincinnati,23,3,2
DeAndre Yedlin,FC Cincinnati,34,0,3
Gerardo Valenzuela,FC Cincinnati,31,1,1
Ian Murphy,FC Cincinnati,31,0,1
Kevin Kelsy,FC Cincinnati,25,6,0
Kipp Keller,FC Cincinnati,16,0,0
Luca Orellano,FC Cincinnati,36,11,7
Luciano Acosta,FC Cincinnati,35,14,21
Malik Pinto,FC Cincinnati,11,0,0
Matt Miazga,FC Cincinnati,16,0,0
Miles Robinson,FC Cincinnati,28,1,0
Nicholas Gioacchini,FC Cincinnati,9,0,0
Nick Hagglund,FC Cincinnati,10,0,0
Obinna Nwobodo,FC Cincinnati,33,0,2
Pavel Bucha,FC Cincinnati,36,4,3
Roman Celentano,FC Cincinnati,33,0,0
Sergio Santos,FC Cincinnati,31,3,3
Teenage Hadebe,FC Cincinnati,7,0,1
Yamil Asad,FC Cincinnati,26,4,5
Yuya Kubo,FC Cincinnati,35,10,3
