Name,Team,P,G,A
Agustin Ojeda,New York City FC,23,3,1
Alonso Martínez,New York City FC,30,17,3
Andres Jasson,New York City FC,3,0,0
Andrés Perea,New York City FC,32,3,2
Birk Risa,New York City FC,30,0,0
Christian McFarlane,New York City FC,8,0,0
Hannes Wolf,New York City FC,38,5,8
James Sands,New York City FC,33,1,3
Jovan Mijatovic,New York City FC,12,0,0
Julián Fernández,New York City FC,23,2,2
Justin Haak,New York City FC,18,0,0
Keaton Parks,New York City FC,36,2,5
Kevin O'Toole,New York City FC,34,1,2
Luis Barraza,New York City FC,1,0,0
Malachi Jones,New York City FC,14,1,2
Matthew Freese,New York City FC,38,0,0
Maxi Morález,New York City FC,21,1,6
Mitja Ilenic,New York City FC,26,1,2
Monsef Bakrar,New York City FC,31,4,1
Piero Elias,New York City FC,1,0,0
Santiago Rodríguez,New York City FC,36,13,10
Strahinja Tanasijevic,New York City FC,17,0,0
Talles Magno,New York City FC,3,1,0
Tayvon Gray,New York City FC,28,1,7
Thiago Martins,New York City FC,35,1,1
