Name,Team,P,G,A
Alejandro Bran,Minnesota United FC,11,1,0
Bongokuhle Hlongwane,Minnesota United FC,35,11,4
Caden Clark,Minnesota United FC,32,4,4
Carlos Harvey,Minnesota United FC,21,0,1
Clint Irwin,Minnesota United FC,5,0,0
D.J. Taylor,Minnesota United FC,24,0,2
Dayne St. Clair,Minnesota United FC,29,0,0
Devin Padelford,Minnesota United FC,24,0,1
Franco Fragapane,Minnesota United FC,24,1,3
Hassani Dotson,Minnesota United FC,32,5,2
Jefferson Díaz,Minnesota United FC,12,0,1
Jeong Sang-Bin,Minnesota United FC,35,6,1
Joaquín Pereyra,Minnesota United FC,10,0,1
Jordan Adebayo-Smith,Minnesota United FC,11,0,1
Joseph Rosales,Minnesota United FC,33,1,10
Kelvin Yeboah,Minnesota United FC,12,9,2
Kervin Arriaga,Minnesota United FC,13,3,0
Michael Boxall,Minnesota United FC,35,1,1
Miguel Tapias,Minnesota United FC,25,0,0
Moses Nyeman,Minnesota United FC,4,0,0
Robin Lod,Minnesota United FC,35,7,16
Tani Oluwaseyi,Minnesota United FC,28,8,6
Teemu Pukki,Minnesota United FC,22,4,1
Victor Eriksson,Minnesota United FC,4,0,0
Wil Trapp,Minnesota United FC,30,1,2
