"Name","Team","P","G","A"
"Akil Watts","St. Louis CITY SC","17","0","2"
"Aziel Jackson","St. Louis CITY SC","0","0","5"
"Cedric Teuchert","St. Louis CITY SC","10","5","4"
"Christopher Durkin","St. Louis CITY SC","28","1","2"
"Célio Pompeu","St. Louis CITY SC","17","3","3"
"Eduard Löwen","St. Louis CITY SC","23","5","3"
"Henry Kessler","St. Louis CITY SC","25","1","0"
"Hosei Kijima","St. Louis CITY SC","18","1","1"
"Indiana Vassilev","St. Louis CITY SC","29","3","4"
"Jakob Nerwinski","St. Louis CITY SC","11","1","0"
"Jannes Horn","St. Louis CITY SC","0","0","2"
"Jayden Reid","St. Louis CITY SC","0","0","3"
"Joakim Nilsson","St. Louis CITY SC","19","1","0"
"Johnny Klein","St. Louis CITY SC","10","1","1"
"Joshua Yaro","St. Louis CITY SC","13","1","0"
"João Klauss","St. Louis CITY SC","27","5","3"
"Kyle Hiebert","St. Louis CITY SC","20","0","0"
"Marcel Hartel","St. Louis CITY SC","9","3","5"
"Njabulo Blom","St. Louis CITY SC","16","1","1"
"Nökkvi Thórisson","St. Louis CITY SC","30","4","1"
"Rasmus Alm","St. Louis CITY SC","20","2","2"
"Roman Bürki","St. Louis CITY SC","32","0","0"
"Simon Becher","St. Louis CITY SC","9","4","0"
"Tomas Ostrak","St. Louis CITY SC","12","1","1"
"Tomas Totland","St. Louis CITY SC","30","2","3"
