Name,Team,P,G,A
Alhassan Yusuf,New England Revolution,0,0,2
Aljaz Ivacic,New England Revolution,25,0,0
Andrew Farrell,New England Revolution,14,0,0
Bobby Wood,New England Revolution,18,4,0
Brandon Bye,New England Revolution,13,1,1
Carles Gil,New England Revolution,26,7,9
Dave Romney,New England Revolution,27,0,0
Dylan Borrero,New England Revolution,17,1,3
Emmanuel Boateng,New England Revolution,23,2,2
Esmir Bajraktarevic,New England Revolution,29,3,5
Giacomo Vrioni,New England Revolution,31,9,1
Henrich Ravas,New England Revolution,8,0,0
Ian Harkes,New England Revolution,27,1,4
Jonathan Mensah,New England Revolution,8,0,0
Luca Langoni,New England Revolution,11,3,2
Mark-Anthony Kaye,New England Revolution,21,0,1
Matt Polster,New England Revolution,31,0,1
Nacho Gil,New England Revolution,17,1,1
Nick Lima,New England Revolution,25,1,0
Noel Buck,New England Revolution,13,1,1
Peyton Miller,New England Revolution,10,0,2
Ryan Spaulding,New England Revolution,11,0,0
Tomás Chancalay,New England Revolution,12,2,1
William Sands,New England Revolution,0,0,2
Xavier Arreaga,New England Revolution,29,0,1
