Name,Team,P,G,A
Alessandro Schöpf,Vancouver Whitecaps,34,1,4
Ali Ahmed,Vancouver Whitecaps,25,1,1
Andrés Cubas,Vancouver Whitecaps,28,0,3
Belal Halbouni,Vancouver Whitecaps,3,0,0
Bjørn Inge Utvik,Vancouver Whitecaps,24,0,0
Brian White,Vancouver Whitecaps,34,16,2
Damir Kreilach,Vancouver Whitecaps,19,2,1
Deiber Caicedo,Vancouver Whitecaps,6,0,0
Fafà Picault,Vancouver Whitecaps,33,9,6
Giuseppe Bovalina,Vancouver Whitecaps,11,0,0
Levonte Johnson,Vancouver Whitecaps,27,0,0
Luís Martins,Vancouver Whitecaps,16,0,1
Mathías Laborda,Vancouver Whitecaps,30,2,1
Pedro Vite,Vancouver Whitecaps,31,1,5
Ralph Priso-Mbongue,Vancouver Whitecaps,15,0,2
Ranko Veselinovic,Vancouver Whitecaps,36,2,2
Ryan Gauld,Vancouver Whitecaps,34,15,16
Ryan Raposo,Vancouver Whitecaps,32,3,5
Sam Adekugbe,Vancouver Whitecaps,20,1,3
Sebastian Berhalter,Vancouver Whitecaps,35,2,6
Stuart Armstrong,Vancouver Whitecaps,10,2,2
Tristan Blackmon,Vancouver Whitecaps,29,0,1
Yohei Takaoka,Vancouver Whitecaps,37,0,0
Édier Ocampo,Vancouver Whitecaps,6,0,0
