Name,Team,P,G,A
Carlos Garcés,LA Galaxy,14,0,1
Daniel Aguirre,LA Galaxy,10,0,0
Dejan Joveljic,LA Galaxy,33,21,7
Diego Fagundez,LA Galaxy,39,4,4
Edwin Cerrillo,LA Galaxy,38,1,1
Eriq Zavaleta,LA Galaxy,5,1,0
Gabriel Pec,LA Galaxy,38,19,17
Gastón Brugman,LA Galaxy,27,0,3
Isaiah Parente,LA Galaxy,6,0,0
Jalen Neal,LA Galaxy,21,0,0
John McCarthy,LA Galaxy,37,0,0
John Nelson,LA Galaxy,28,1,2
Joseph Paintsil,LA Galaxy,34,14,10
Julián Aude,LA Galaxy,26,1,2
Marco Reus,LA Galaxy,11,1,4
Mark Delgado,LA Galaxy,37,1,10
Martín Cáceres,LA Galaxy,15,0,0
Maruicio Cuevas,LA Galaxy,19,1,1
Maya Yoshida,LA Galaxy,39,2,2
Miguel Berry,LA Galaxy,33,2,3
Miki Yamane,LA Galaxy,38,0,7
Novak Micovic,LA Galaxy,2,0,0
Ricard Puig,LA Galaxy,33,17,19
Tucker Lepley,LA Galaxy,3,0,0
