Name,Team,P,G,A
Aidan O'Connor,Red Bull New York,2,0,0
Andrés Reyes,Red Bull New York,27,2,1
Cameron Harper,Red Bull New York,32,5,1
Carlos Coronel,Red Bull New York,32,0,0
Cory Burke,Red Bull New York,20,1,1
Daniel Edelman,Red Bull New York,36,0,1
Dante Vanzeir,Red Bull New York,37,6,10
Dennis Gjengaar,Red Bull New York,25,2,1
Dylan Nealis,Red Bull New York,35,0,5
Elias Manoel,Red Bull New York,38,8,3
Emil Forsberg,Red Bull New York,24,10,5
Felipe Carballo,Red Bull New York,11,2,0
Frankie Amaya,Red Bull New York,20,1,3
John Tolkin,Red Bull New York,33,2,2
Julian Hall,Red Bull New York,11,2,1
Kyle Duncan,Red Bull New York,21,1,1
Lewis Morgan,Red Bull New York,34,13,7
Noah Eile,Red Bull New York,34,0,3
Peter Stroud,Red Bull New York,18,0,1
Roald Mitchell,Red Bull New York,2,0,0
Ronald Donkor,Red Bull New York,21,0,0
Ryan Meara,Red Bull New York,7,0,0
Sean Nealis,Red Bull New York,33,1,2
Serge Ngoma,Red Bull New York,9,1,0
Wikelman Carmona,Red Bull New York,29,3,3
