Name,Team,P,G,A
Benjamin Cremaschi,Inter Miami CF,25,4,2
David Ruiz,Inter Miami CF,28,1,3
Diego Gómez,Inter Miami CF,22,3,6
Drake Callender,Inter Miami CF,35,0,0
Federico Redondo,Inter Miami CF,19,2,4
Franco Negri,Inter Miami CF,11,0,1
Héctor Martínez,Inter Miami CF,7,1,1
Ian Fray,Inter Miami CF,15,2,0
Jordi Alba,Inter Miami CF,31,5,16
Julian Gressel,Inter Miami CF,32,1,12
Lawson Sunderland,Inter Miami CF,0,0,1
Leo Afonso,Inter Miami CF,11,2,0
Leonardo Campana,Inter Miami CF,30,8,3
Lionel Messi,Inter Miami CF,22,21,17
Luis Suárez,Inter Miami CF,30,21,10
Marcelo Weigandt,Inter Miami CF,26,0,4
Matías Rojas,Inter Miami CF,16,5,2
Nicolás Freire,Inter Miami CF,10,0,0
Noah Allen,Inter Miami CF,20,0,0
Robert Taylor,Inter Miami CF,28,5,5
Ryan Sailor,Inter Miami CF,9,0,0
Sergio Busquets,Inter Miami CF,32,1,6
Serhiy Kryvtsov,Inter Miami CF,23,1,0
Shanyder Borgelin,Inter Miami CF,6,0,0
Tomás Avilés,Inter Miami CF,30,0,0
Yannick Bright,Inter Miami CF,25,0,3
