Name,Team,P,G,A
Alfredo Morales,San Jose Earthquakes,23,0,0
Amahl Pellegrino,San Jose Earthquakes,32,7,2
Benjamin Kikanovic,San Jose Earthquakes,24,3,1
Bruno Wilson,San Jose Earthquakes,13,1,2
Carlos Akapo,San Jose Earthquakes,21,0,2
Carlos Gruezo,San Jose Earthquakes,24,0,0
Cristian Espinoza,San Jose Earthquakes,34,4,13
Daniel,San Jose Earthquakes,12,0,0
Daniel Munie,San Jose Earthquakes,17,0,0
Hernan Lopez,San Jose Earthquakes,24,6,2
Jack Skahan,San Jose Earthquakes,29,1,2
Jackson Yueill,San Jose Earthquakes,32,1,2
Jacob Jackson,San Jose Earthquakes,3,0,0
Jeremy Ebobisse,San Jose Earthquakes,31,6,1
Michael Baldisimo,San Jose Earthquakes,2,0,0
Niko Tsakiris,San Jose Earthquakes,25,0,1
Oscar Verhoeven,San Jose Earthquakes,6,0,0
Ousseni Bouda,San Jose Earthquakes,12,1,0
Paul Marie,San Jose Earthquakes,30,3,1
Preston Judd,San Jose Earthquakes,26,1,0
Rodrigues,San Jose Earthquakes,31,3,1
Tanner Beason,San Jose Earthquakes,26,0,0
Tommy Thompson,San Jose Earthquakes,10,0,0
Vítor Costa,San Jose Earthquakes,29,2,3
William Yarbrough,San Jose Earthquakes,19,0,0
