Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Brett Bulmer,MIN,F,1,0,0,0,-1.0,0,6:09,0,0,0,0.0,,,,,,0,0,0.0
Charlie Coyle,MIN,C,82,20,23,43,9.0,36,15:32,2,3,159,12.6,,,,,,0,0,0.0
Chris Porter,MIN,LW,60,7,5,12,-3.0,48,11:08,0,0,62,11.3,,,,,,0,0,0.0
Christian Folin,MIN,D,26,2,2,4,2.0,2,9:24,0,0,30,6.7,,,,,,0,0,0.0
Christoph Bertschy,MIN,C,3,0,0,0,1.0,10,4:29,0,0,1,0.0,,,,,,0,0,0.0
David Jones RW *,MIN,,54,0,3,3,1.0,39,11:23,0,0,20,0.0,,,,,,0,0,0.0
Erik Haula,MIN,LW,75,11,25,36,10.0,12,16:21,3,7,187,5.9,,,,,,1,1,100.0
Gustav Olofsson,MIN,D,2,0,0,0,1.0,0,7:33,0,0,0,0.0,,,,,,0,0,0.0
Jared Spurgeon,MIN,D,76,14,20,34,21.0,24,12:43,0,1,99,14.1,,,,,,0,0,0.0
Jarret Stoll C *,MIN,,68,2,5,7,-5.0,18,20:25,0,0,58,3.4,,,,,,0,0,0.0
Jason Pominville,MIN,RW,74,18,23,41,-10.0,22,15:36,6,8,146,12.3,,,,,,0,0,0.0
Jason Zucker,MIN,LW,81,10,16,26,1.0,38,16:50,6,6,152,6.6,,,,,,0,0,0.0
Jonas Brodin,MIN,D,29,1,6,7,-4.0,8,12:04,0,2,27,3.7,,,,,,0,0,0.0
Jordan Schroeder,MIN,C,51,3,3,6,-4.0,16,11:15,0,0,23,13.0,,,,,,0,0,0.0
Justin Fontaine,MIN,RW,73,5,16,21,6.0,22,20:42,2,1,126,4.0,,,,,,0,0,0.0
Kurtis Gabriel,MIN,RW,2,0,0,0,0.0,0,9:11,0,0,1,0.0,,,,,,0,0,0.0
Marco Scandella,MIN,D,71,13,10,23,-4.0,20,15:34,0,2,158,8.2,,,,,,0,0,0.0
Matt Dumba,MIN,D,77,11,18,29,11.0,14,22:40,5,8,122,9.0,,,,,,0,0,0.0
Michael Keranen,MIN,LW,2,1,0,1,0.0,0,10:15,0,0,3,33.3,,,,,,0,0,0.0
Mikael Granlund,MIN,C,82,8,43,51,10.0,30,28:35,3,18,188,4.3,,,,,,0,0,0.0
Mike Reilly,MIN,D,61,4,3,7,-6.0,6,9:38,0,0,45,8.9,,,,,,0,0,0.0
Nate Prosser,MIN,D,26,0,4,4,-1.0,11,14:34,0,0,14,0.0,,,,,,0,0,0.0
Nino Niederreiter,MIN,RW,82,13,31,44,-12.0,20,18:07,2,9,160,8.1,,,,,,0,0,0.0
Ryan Carter,MIN,C,60,5,11,16,3.0,20,11:51,0,0,54,9.3,,,,,,0,0,0.0
Ryan Suter,MIN,D,70,25,28,53,-3.0,36,19:17,7,11,234,10.7,,,,,,5,1,20.0
Thomas Vanek,MIN,LW,82,21,21,42,1.0,16,17:18,2,4,140,15.0,,,,,,5,3,60.0
Total,MIN,,3,0,0,0,0.0,0,6:56,0,0,3,0.0,,,,,,0,0,0.0
Tyler Graovac,MIN,C,3,0,0,0,-1.0,7,6:43,0,0,2,0.0,,,,,,0,0,0.0
Tyson Strachan,MIN,D,2,0,0,0,-1.0,0,11:36,0,0,2,0.0,,,,,,0,0,0.0
Zac Dalpe,MIN,C,16,2,1,3,1.0,0,11:08,0,0,17,11.8,,,,,,0,0,0.0
Zach Parise,MIN,LW,82,17,39,56,6.0,40,19:55,10,10,141,12.1,,,,,,4,0,0.0
