Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Adam Henrique,NJ,C,82,31,38,69,-5.0,32,21:29,7,7,293,10.6,,,,,,16,8,50.0
Adam Larsson,NJ,D,33,7,11,18,9.0,8,14:33,0,0,58,12.1,,,,,,0,0,0.0
Alexander Urbom,NJ,D,1,1,0,1,1.0,0,10:37,0,0,2,50.0,,,,,,0,0,0.0
Alexei Ponikarovsky LW *,NJ,,82,21,23,44,4.0,40,15:54,4,2,170,12.4,,,,,,1,0,0.0
Andy Greene,NJ,D,82,4,13,17,-4.0,26,20:11,0,2,94,4.3,,,,,,0,0,0.0
Anton Volchenkov,NJ,D,28,3,9,12,-9.0,23,17:09,2,8,54,5.6,,,,,,0,0,0.0
Brad Mills,NJ,C,5,1,0,1,1.0,9,13:35,0,0,3,33.3,,,,,,0,0,0.0
Bryce Salvador,NJ,D,72,2,9,11,3.0,34,17:58,0,0,63,3.2,,,,,,0,0,0.0
Cam Janssen,NJ,RW,27,0,1,1,-10.0,32,7:10,0,0,18,0.0,,,,,,0,0,0.0
Dainius Zubrus,NJ,C,80,30,16,46,-8.0,138,16:21,8,8,228,13.2,,,,,,2,1,50.0
David Clarkson,NJ,RW,74,16,35,51,8.0,7,18:09,0,8,130,12.3,,,,,,3,1,33.3
Eric Boulton,NJ,LW,1,0,0,0,0.0,0,4:34,0,0,0,0.0,,,,,,0,0,0.0
Henrik Tallinder,NJ,D,15,2,4,6,-3.0,4,17:22,1,0,25,8.0,,,,,,1,1,100.0
Jacob Josefson,NJ,C,82,0,9,9,18.0,66,20:12,0,0,52,0.0,,,,,,0,0,0.0
Kurtis Foster D *,NJ,,56,1,15,16,3.0,16,19:30,0,1,53,1.9,,,,,,0,0,0.0
Marek Zidlicky D *,NJ,,65,4,4,8,-12.0,84,10:27,0,0,47,8.5,,,,,,0,0,0.0
Mark Fayne,NJ,D,65,2,16,18,-7.0,20,20:37,0,4,68,2.9,,,,,,0,0,0.0
Mark Fraser,NJ,D,4,0,0,0,-2.0,0,4:52,0,0,0,0.0,,,,,,0,0,0.0
Matt Taormina,NJ,D,29,4,3,7,-7.0,12,10:38,0,0,42,9.5,,,,,,0,0,0.0
Mattias Tedenby,NJ,LW,32,1,5,6,6.0,16,11:57,0,0,23,4.3,,,,,,0,0,0.0
Nick Palmieri RW *,NJ,,22,2,6,8,0.0,10,22:34,2,3,20,10.0,,,,,,0,0,0.0
Patrik Elias,NJ,C,77,37,46,83,-9.0,33,24:26,10,19,310,11.9,,,,,,14,11,78.6
Peter Harrold,NJ,D,39,0,6,6,-11.0,16,21:18,0,1,43,0.0,,,,,,0,0,0.0
Petr Sykora,NJ,RW,82,17,27,44,7.0,34,18:41,4,2,109,15.6,,,,,,0,0,0.0
Rod Pelley C *,NJ,,51,0,0,0,-12.0,115,6:35,0,0,25,0.0,,,,,,0,0,0.0
Ryan Carter C *,NJ,,41,2,7,9,10.0,6,12:05,0,0,37,5.4,,,,,,0,0,0.0
Stephane Veilleux LW *,NJ,,4,0,0,0,-2.0,14,14:20,0,0,0,0.0,,,,,,0,0,0.0
Stephen Gionta,NJ,RW,11,0,2,2,0.0,0,14:36,0,1,11,0.0,,,,,,0,0,0.0
Steve Bernier,NJ,RW,30,1,6,7,6.0,4,16:32,0,1,33,3.0,,,,,,0,0,0.0
Steven Zalewski,NJ,C,18,0,0,0,-5.0,7,8:15,0,0,6,0.0,,,,,,0,0,0.0
Tim Sestito,NJ,C,48,0,1,1,-8.0,75,4:40,0,0,17,0.0,,,,,,0,0,0.0
Total,NJ,,7,0,0,0,0.0,7,6:12,0,0,3,0.0,,,,,,0,0,0.0
Travis Zajac,NJ,C,43,1,5,6,-15.0,16,10:45,0,0,46,2.2,,,,,,0,0,0.0
Vladimir Zharkov,NJ,RW,7,0,0,0,-2.0,0,10:33,0,0,6,0.0,,,,,,0,0,0.0
Zach Parise,NJ,LW,81,26,52,78,-8.0,16,19:51,8,21,164,15.9,,,,,,12,6,50.0
