Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Bobby Horsey,Washington DCPower,,16,11,6,17,6,0,0,0,55,0,0,0,0,0/3,-
Brendan Bellotte,Washington DCPower,,1,0,0,0,0,0,0,0,2,0,0,0,0,0/0,-
Brian Reese,Washington DCPower,,15,4,11,15,61,0,0,0,85,0,0,0,0,0/0,-
Brook,Washington DCPower,,1,0,0,0,2,0,0,0,0,0,0,0,0,0/0,-
Casey Connor,Washington DCPower,,5,0,1,1,13,0,0,0,19,0,0,0,0,0/0,-
Chris Standish,Washington DCPower,,8,0,2,2,13,0,0,0,33,0,0,0,0,0/0,-
Del Halladay,Washington DCPower,,16,31,44,75,32,0,0,0,84,0,0,0,0,18/36,50%
Devin Dalep,Washington DCPower,G,15,0,14,14,0,0,0,0,193,0,0,0,0,0/0,-
Erik Miller,Washington DCPower,G,6,0,4,4,2,0,0,0,35,0,0,0,0,0/0,-
Fred Jenner,Washington DCPower,,15,15,23,38,15,0,0,0,41,0,0,0,0,0/0,-
Gary Gait,Washington DCPower,,16,51,61,112,6,0,0,0,120,0,0,0,0,0/0,-
Hugh Donovan,Washington DCPower,,16,2,6,8,52,0,0,0,93,0,0,0,0,0/0,-
Jeff Shirk,Washington DCPower,,3,0,0,0,6,0,0,0,2,0,0,0,0,0/0,-
Jeff Wills,Washington DCPower,,15,10,17,27,8,0,0,0,22,0,0,0,0,0/0,-
John Gallant,Washington DCPower,,15,1,11,12,53,0,0,0,108,0,0,0,0,0/0,-
John Rosa,Washington DCPower,,16,7,20,27,33,0,0,0,86,0,0,0,0,1/2,50%
Jon Brothers,Washington DCPower,,16,1,13,14,51,0,0,0,61,0,0,0,0,104/197,53%
Josh Sims,Washington DCPower,,15,10,14,24,6,0,0,0,74,0,0,0,0,0/0,-
Kip Fulks,Washington DCPower,,15,12,7,19,24,0,0,0,59,0,0,0,0,0/1,-
Matt Shearer,Washington DCPower,,16,31,26,57,4,0,0,0,79,0,0,0,0,0/0,-
Neil Doddridge,Washington DCPower,,3,1,0,1,6,0,0,0,4,0,0,0,0,0/0,-
Paul Cantabene,Washington DCPower,,16,18,39,57,22,0,0,0,163,0,0,0,0,179/311,58%
Paul Gait,Washington DCPower,,16,53,61,114,6,0,0,0,107,0,0,0,0,0/0,-
Scott Joyner,Washington DCPower,,1,0,0,0,0,0,0,0,7,0,0,0,0,0/0,-
Sean Radebaugh,Washington DCPower,,1,0,2,2,0,0,0,0,6,0,0,0,0,0/0,-
Tom Still,Washington DCPower,G,1,0,0,0,0,0,0,0,1,0,0,0,0,0/0,-
