"Name","Team","P","G","A"
"Abdoulaye Doucouré","Everton","0.0","0.0","4.0"
"Alexandre Lacazette","Arsenal","0.0","0.0","7.0"
"Allan Saint-Maximin","Newcastle United","0.0","0.0","5.0"
"Andrew Robertson","Liverpool","0.0","0.0","10.0"
"Armando Broja","Southampton","32.0","6.0","0.0"
"Bernardo Silva","Manchester City","35.0","8.0","4.0"
"Bruno Fernandes","Manchester United","36.0","10.0","6.0"
"Bryan Mbeumo","Brentford","0.0","0.0","7.0"
"Bukayo Saka","Arsenal","38.0","11.0","7.0"
"Callum Wilson","Newcastle United","18.0","8.0","0.0"
"Christian Nørgaard","Brentford","0.0","0.0","4.0"
"Ché Adams","Southampton","30.0","7.0","0.0"
"Conor Gallagher","Crystal Palace","34.0","8.0","0.0"
"Cristiano Ronaldo","Manchester United","30.0","18.0","0.0"
"Daniel James","Leeds United","0.0","0.0","4.0"
"Danny Ings","Aston Villa","30.0","7.0","6.0"
"Declan Rice","West Ham United","0.0","0.0","4.0"
"Dejan Kulusevski","Tottenham Hotspur","0.0","0.0","8.0"
"Demarai Gray","Everton","0.0","0.0","4.0"
"Diogo Jota","Liverpool","35.0","15.0","4.0"
"Emile Smith Rowe","Arsenal","33.0","10.0","0.0"
"Emiliano Buendía","Aston Villa","0.0","0.0","6.0"
"Emmanuel Dennis","Watford","33.0","10.0","6.0"
"Gabriel Jesus","Manchester City","28.0","8.0","8.0"
"Gabriel Martinelli","Arsenal","0.0","0.0","6.0"
"Harry Kane","Tottenham Hotspur","37.0","17.0","9.0"
"Harvey Barnes","Leicester City","32.0","6.0","10.0"
"Ilkay Gündogan","Manchester City","27.0","8.0","0.0"
"Ivan Toney","Brentford","33.0","12.0","5.0"
"Jack Harrison","Leeds United","35.0","8.0","0.0"
"Jacob Ramsey","Aston Villa","34.0","6.0","0.0"
"James Maddison","Leicester City","35.0","12.0","8.0"
"James Ward-Prowse","Southampton","36.0","10.0","5.0"
"Jamie Vardy","Leicester City","25.0","15.0","0.0"
"Jarrod Bowen","West Ham United","36.0","12.0","10.0"
"John McGinn","Aston Villa","0.0","0.0","4.0"
"Jordan Henderson","Liverpool","0.0","0.0","5.0"
"João Cancelo","Manchester City","0.0","0.0","7.0"
"Kai Havertz","Chelsea","29.0","8.0","0.0"
"Kelechi Iheanacho","Leicester City","0.0","0.0","5.0"
"Kevin De Bruyne","Manchester City","30.0","15.0","8.0"
"Kiko Femenía","Watford","0.0","0.0","5.0"
"Leandro Trossard","Brighton & Hove Albion","34.0","8.0","0.0"
"Lucas Moura","Tottenham Hotspur","0.0","0.0","6.0"
"Martin Ødegaard","Arsenal","36.0","7.0","4.0"
"Mason Mount","Chelsea","32.0","11.0","10.0"
"Mateo Kovacic","Chelsea","0.0","0.0","5.0"
"Maxwel Cornet","Burnley","26.0","9.0","0.0"
"Michael Olise","Crystal Palace","0.0","0.0","5.0"
"Michail Antonio","West Ham United","36.0","10.0","8.0"
"Mohamed Salah","Liverpool","35.0","23.0","13.0"
"Nathan Redmond","Southampton","0.0","0.0","5.0"
"Neal Maupay","Brighton & Hove Albion","32.0","8.0","0.0"
"Ollie Watkins","Aston Villa","35.0","11.0","0.0"
"Pablo Fornals","West Ham United","36.0","6.0","0.0"
"Paul Pogba","Manchester United","0.0","0.0","9.0"
"Phil Foden","Manchester City","28.0","9.0","5.0"
"Raheem Sterling","Manchester City","30.0","13.0","5.0"
"Raphinha","Leeds United","35.0","11.0","0.0"
"Raúl Jiménez","Wolverhampton Wanderers","34.0","6.0","4.0"
"Reece James","Chelsea","0.0","0.0","9.0"
"Richarlison","Everton","30.0","10.0","5.0"
"Riyad Mahrez","Manchester City","28.0","11.0","5.0"
"Rodri","Manchester City","33.0","7.0","0.0"
"Rodrigo","Leeds United","31.0","6.0","0.0"
"Romelu Lukaku","Chelsea","26.0","8.0","0.0"
"Sadio Mané","Liverpool","34.0","16.0","0.0"
"Saïd Benrahma","West Ham United","32.0","8.0","6.0"
"Son Heung-Min","Tottenham Hotspur","35.0","23.0","8.0"
"Teemu Pukki","Norwich City","37.0","11.0","0.0"
"Trent Alexander-Arnold","Liverpool","0.0","0.0","12.0"
"Wilfried Zaha","Crystal Palace","33.0","14.0","0.0"
"Yoane Wissa","Brentford","30.0","7.0","0.0"
"Youri Tielemans","Leicester City","32.0","6.0","4.0"
