Name,Team,P,G,A
Alan Shearer,Newcastle United,35.0,17.0,5.0
Alan Smith,Leeds United,0.0,0.0,5.0
Ali Benarbia,Manchester City,0.0,0.0,7.0
Andrew Cole,Blackburn Rovers,34.0,7.0,7.0
Ashley Cole,Arsenal,0.0,0.0,5.0
Chris Marsden,Southampton,0.0,0.0,5.0
Claus Jensen,Charlton Athletic,35.0,6.0,7.0
Craig Bellamy,Newcastle United,29.0,7.0,5.0
Damien Duff,Blackburn Rovers,26.0,9.0,5.0
Danny Murphy,Liverpool,36.0,7.0,6.0
Darius Vassell,Aston Villa,33.0,8.0,0.0
Darren Anderton,Tottenham Hotspur,0.0,0.0,6.0
David Beckham,Manchester United,0.0,0.0,9.0
David Dunn,Blackburn Rovers,28.0,8.0,0.0
Dennis Bergkamp,Arsenal,0.0,0.0,8.0
Dion Dublin,Aston Villa,28.0,10.0,0.0
Dwight Yorke,Blackburn Rovers,33.0,8.0,0.0
Eidur Gudjohnsen,Chelsea,35.0,10.0,0.0
El-Hadji Diouf,Liverpool,0.0,0.0,8.0
Emile Heskey,Liverpool,32.0,6.0,0.0
Emmanuel Petit,Chelsea,0.0,0.0,5.0
Eyal Berkovic,Manchester City,0.0,0.0,8.0
Franck Queudrue,Middlesbrough,0.0,0.0,5.0
Frank Lampard,Chelsea,38.0,6.0,0.0
Gareth Barry,Aston Villa,0.0,0.0,6.0
Geremi,Middlesbrough,33.0,7.0,8.0
Gianfranco Zola,Chelsea,38.0,14.0,7.0
Graeme Le Saux,Chelsea,0.0,0.0,7.0
Harry Kewell,Leeds United,31.0,14.0,7.0
Henrik Pedersen,Bolton Wanderers,33.0,7.0,0.0
Hugo Viana,Newcastle United,0.0,0.0,5.0
James Beattie,Southampton,38.0,23.0,0.0
Jason Euell,Charlton Athletic,36.0,10.0,0.0
Jason Koumas,West Bromwich Albion,0.0,0.0,6.0
Jay-Jay Okocha,Bolton Wanderers,31.0,7.0,0.0
Jermain Defoe,West Ham United,38.0,8.0,8.0
Jermaine Jenas,Newcastle United,32.0,6.0,0.0
Jesper Gronkjaer,Chelsea,0.0,0.0,5.0
Jimmy Floyd Hasselbaink,Chelsea,36.0,11.0,7.0
John Arne Riise,Liverpool,37.0,6.0,0.0
Kevin Campbell,Everton,36.0,10.0,0.0
Kevin Phillips,Sunderland,32.0,6.0,4.0
Kieron Courtney Dyer,Newcastle United,0.0,0.0,4.0
Laurent Robert,Newcastle United,0.0,0.0,5.0
Marc-Vivien Foe,Manchester City,35.0,9.0,0.0
Mark Viduka,Leeds United,33.0,20.0,4.0
Massimo Maccarone,Middlesbrough,34.0,9.0,7.0
Matt Oakley,Southampton,0.0,0.0,4.0
Michael Owen,Liverpool,35.0,19.0,5.0
Mikaël Silvestre,Manchester United,0.0,0.0,6.0
Milan Baros,Liverpool,27.0,9.0,0.0
Nicolas Anelka,Manchester City,38.0,14.0,6.0
Nolberto Solano,Newcastle United,31.0,7.0,5.0
Ole Gunnar Solskjaer,Manchester United,37.0,9.0,8.0
Paolo Di Canio,West Ham United,18.0,9.0,0.0
Paul Scholes,Manchester United,33.0,14.0,4.0
Robbie Keane,Tottenham Hotspur,3.0,1.0,0.0
Robbie Savage,Birmingham City,0.0,0.0,6.0
Robert Pires,Arsenal,26.0,14.0,0.0
Ruud van Nistelrooy,Manchester United,34.0,25.0,4.0
Ryan Giggs,Manchester United,36.0,8.0,13.0
Shaun Goater,Manchester City,26.0,7.0,0.0
Stan Lazaridis,Birmingham City,0.0,0.0,6.0
Steed Malbranque,Fulham,37.0,6.0,0.0
Steven Gerrard,Liverpool,0.0,0.0,8.0
Sylvain Wiltord,Arsenal,34.0,10.0,5.0
Szilard Nemeth,Middlesbrough,28.0,7.0,0.0
Teddy Sheringham,Tottenham Hotspur,36.0,12.0,4.0
Thierry Henry,Arsenal,37.0,24.0,23.0
Thomas Gravesen,Everton,0.0,0.0,6.0
Tomasz Radzinski,Everton,30.0,11.0,0.0
Trevor Sinclair,West Ham United,38.0,8.0,0.0
Wayne Rooney,Everton,33.0,6.0,4.0
Youri Djorkaeff,Bolton Wanderers,36.0,7.0,4.0
