Name,Team,P,G,A
Alan Shearer,Newcastle United,28.0,7.0,0.0
Andrew Cole,Manchester City,31.0,12.0,0.0
Andrew Johnson,Crystal Palace,37.0,21.0,0.0
Arjen Robben,Chelsea,18.0,7.0,9.0
Brett Emerton,Blackburn Rovers,0.0,0.0,4.0
Cesc Fàbregas,Arsenal,0.0,0.0,4.0
Claude Makelele,Chelsea,0.0,0.0,4.0
Craig Bellamy,Blackburn Rovers,21.0,7.0,0.0
Cristiano Ronaldo,Manchester United,0.0,0.0,4.0
Damien Duff,Chelsea,0.0,0.0,6.0
Damien Francis,Norwich City,32.0,7.0,0.0
Danny Murphy,Charlton Athletic,0.0,0.0,8.0
Darren Huckerby,Norwich City,37.0,6.0,7.0
Dean Ashton,Norwich City,16.0,7.0,0.0
Dennis Bergkamp,Arsenal,29.0,8.0,13.0
Didier Drogba,Chelsea,26.0,10.0,5.0
Dietmar Hamann,Liverpool,0.0,0.0,5.0
Duncan Ferguson,Everton,35.0,6.0,4.0
Eidur Gudjohnsen,Chelsea,37.0,12.0,7.0
El-Hadji Diouf,Bolton Wanderers,27.0,9.0,6.0
Emile Heskey,Birmingham City,34.0,10.0,4.0
Frank Lampard,Chelsea,38.0,13.0,16.0
Freddie Ljungberg,Arsenal,26.0,10.0,9.0
Frédéric Kanouté,Tottenham Hotspur,32.0,7.0,6.0
Gareth Barry,Aston Villa,34.0,7.0,0.0
Gary Speed,Bolton Wanderers,0.0,0.0,5.0
Graeme Le Saux,Southampton,0.0,0.0,5.0
Jermain Defoe,Tottenham Hotspur,35.0,13.0,0.0
Jimmy Floyd Hasselbaink,Middlesbrough,36.0,13.0,7.0
Joe Cole,Chelsea,28.0,8.0,0.0
John Arne Riise,Liverpool,37.0,6.0,7.0
Jonathan Greening,West Bromwich Albion,0.0,0.0,7.0
José Antonio Reyes,Arsenal,30.0,9.0,10.0
Juan Pablo Angel,Aston Villa,35.0,7.0,0.0
Kevin Davies,Bolton Wanderers,35.0,8.0,0.0
Kevin Kilbane,Everton,0.0,0.0,4.0
Kevin Phillips,Aston Villa,30.0,10.0,0.0
Laurent Robert,Portsmouth,0.0,0.0,6.0
Leon McKenzie,Norwich City,37.0,7.0,4.0
Luis Boa Morte,Fulham,31.0,8.0,11.0
Luis García,Liverpool,29.0,8.0,0.0
Marcus Bent,Everton,37.0,6.0,0.0
Mark Pembridge,Fulham,0.0,0.0,5.0
Michael Carrick,Tottenham Hotspur,0.0,0.0,6.0
Milan Baros,Liverpool,26.0,9.0,0.0
Nicolas Anelka,Manchester City,19.0,7.0,0.0
Nolberto Solano,Aston Villa,36.0,8.0,8.0
Patrick Vieira,Arsenal,32.0,6.0,0.0
Patrik Berger,Aston Villa,0.0,0.0,6.0
Paul Dickov,Blackburn Rovers,29.0,9.0,0.0
Paul Scholes,Manchester United,33.0,9.0,0.0
Peter Crouch,Liverpool,27.0,12.0,7.0
Robbie Fowler,Manchester City,31.0,10.0,5.0
Robbie Keane,Tottenham Hotspur,35.0,12.0,4.0
Robert Earnshaw,West Bromwich Albion,31.0,11.0,0.0
Robert Pires,Arsenal,33.0,14.0,0.0
Rory Delap,Southampton,0.0,0.0,4.0
Ryan Giggs,Manchester United,0.0,0.0,10.0
Shaun Wright-Phillips,Chelsea,34.0,10.0,6.0
Stelios Giannakopoulos,Bolton Wanderers,34.0,7.0,5.0
Steven Gerrard,Liverpool,30.0,7.0,5.0
Stewart Downing,Middlesbrough,0.0,0.0,11.0
Thierry Henry,Arsenal,32.0,25.0,15.0
Thomas Gravesen,Everton,0.0,0.0,7.0
Thomas Hitzlsperger,Aston Villa,0.0,0.0,5.0
Tiago,Chelsea,0.0,0.0,4.0
Tim Cahill,Everton,33.0,11.0,4.0
Tomasz Radzinski,Fulham,35.0,6.0,0.0
Ulises De la Cruz,Aston Villa,0.0,0.0,4.0
Wayne Rooney,Manchester United,29.0,11.0,0.0
Wayne Routledge,Tottenham Hotspur,0.0,0.0,9.0
Xabi Alonso,Liverpool,0.0,0.0,6.0
Yakubu Ayegbeni,Middlesbrough,30.0,13.0,0.0
Zoltan Gera,West Bromwich Albion,38.0,6.0,5.0
