Team,P,yc,rc,PTS
Arsenal,38,77,6,95
Aston Villa,38,43,2,49
Blackburn Rovers,38,58,4,70
Bolton Wanderers,38,59,7,80
Charlton Athletic,38,63,3,72
Chelsea,38,70,3,79
Derby County,38,73,3,82
Everton,38,60,3,69
Fulham,38,55,1,58
Ipswich Town,38,46,1,49
Leeds United,38,71,5,86
Leicester City,38,77,5,92
Liverpool,38,42,3,51
Manchester United,38,54,1,57
Middlesbrough,38,51,7,72
Newcastle United,38,51,2,57
Southampton,38,36,5,51
Sunderland,38,68,1,71
Tottenham Hotspur,38,58,5,73
West Ham United,38,67,3,76
