Team,P,yc,rc,PTS
AFC Bournemouth,38,97,3,106
Arsenal,38,67,6,85
Aston Villa,38,74,3,83
Brentford,38,62,1,65
Brighton & Hove Albion,38,78,3,87
Chelsea,38,100,2,106
Crystal Palace,38,74,4,86
Everton,38,81,2,87
Fulham,38,82,2,88
Ipswich Town,38,91,6,109
Leicester City,38,88,0,88
Liverpool,38,66,3,75
Manchester City,38,58,2,64
Manchester United,38,83,3,92
Newcastle United,38,68,1,71
Nottingham Forest,38,90,2,96
Southampton,38,89,3,98
Tottenham Hotspur,38,71,1,74
West Ham United,38,78,3,87
Wolverhampton Wanderers,38,76,2,82
