Team,P,yc,rc,PTS
Arsenal,38,65,6,83
Aston Villa,38,71,2,77
Birmingham City,38,57,3,66
Blackburn Rovers,38,65,5,80
Blackpool,38,47,2,53
Bolton Wanderers,38,67,5,82
Chelsea,38,59,1,62
Everton,38,55,5,70
Fulham,38,52,1,55
Liverpool,38,63,2,69
Manchester City,38,71,4,83
Manchester United,38,56,3,65
Newcastle United,38,78,2,84
Stoke City,38,68,2,74
Sunderland,38,57,5,72
Tottenham Hotspur,38,51,2,57
West Bromwich Albion,38,52,7,73
West Ham United,38,60,1,63
Wigan Athletic,38,67,4,79
Wolverhampton Wanderers,38,62,2,68
