Team,P,yc,rc,PTS
Arsenal,38,53,4,65
Aston Villa,38,78,0,78
Cardiff City,38,49,1,52
Chelsea,38,57,3,66
Crystal Palace,38,58,2,64
Everton,38,54,1,57
Fulham,38,58,1,61
Hull City,38,53,4,65
Liverpool,38,54,1,57
Manchester City,38,72,1,75
Manchester United,38,66,3,75
Newcastle United,38,53,6,71
Norwich City,38,62,2,68
Southampton,38,60,0,60
Stoke City,38,72,5,87
Sunderland,38,69,7,90
Swansea City,38,55,3,64
Tottenham Hotspur,38,66,4,78
West Bromwich Albion,38,67,0,67
West Ham United,38,62,5,77
