Team,P,yc,rc,PTS
Arsenal,38,68,2,74
Aston Villa,38,70,7,91
Burnley,38,64,2,70
Chelsea,38,73,4,85
Crystal Palace,38,63,4,75
Everton,38,66,2,72
Hull City,38,73,6,91
Leicester City,38,49,4,61
Liverpool,38,66,3,75
Manchester City,38,77,2,83
Manchester United,38,64,5,79
Newcastle United,38,65,7,86
Queens Park Rangers,38,75,3,84
Southampton,38,57,3,66
Stoke City,38,82,1,85
Sunderland,38,94,2,100
Swansea City,38,48,5,63
Tottenham Hotspur,38,79,4,91
West Bromwich Albion,38,64,3,73
West Ham United,38,64,2,70
