Team,P,yc,rc,PTS
Arsenal,38,52,3,61
Aston Villa,38,52,3,61
Birmingham City,38,45,5,60
Blackburn Rovers,38,61,3,70
Bolton Wanderers,38,69,0,69
Charlton Athletic,38,35,2,41
Chelsea,38,50,4,62
Everton,38,53,3,62
Fulham,38,61,3,70
Leeds United,38,70,5,85
Leicester City,38,57,7,78
Liverpool,38,46,1,49
Manchester City,38,47,3,56
Manchester United,38,44,3,53
Middlesbrough,38,56,1,59
Newcastle United,38,48,3,57
Portsmouth,38,62,3,71
Southampton,38,53,3,62
Tottenham Hotspur,38,57,1,60
Wolverhampton Wanderers,38,66,2,72
