Team,P,yc,rc,PTS
Arsenal,38,63,4,75
Aston Villa,38,80,2,86
Brentford,38,63,3,72
Brighton & Hove Albion,38,69,2,75
Burnley,38,67,2,73
Chelsea,38,63,1,66
Crystal Palace,38,68,1,71
Everton,38,79,6,97
Leeds United,38,101,3,110
Leicester City,38,55,1,58
Liverpool,38,50,1,53
Manchester City,38,42,1,45
Manchester United,38,76,2,82
Newcastle United,38,87,2,93
Norwich City,38,56,1,59
Southampton,38,63,2,69
Tottenham Hotspur,38,67,1,70
Watford,38,60,3,69
West Ham United,38,49,3,58
Wolverhampton Wanderers,38,60,2,66
