Team,P,yc,rc,PTS
AFC Bournemouth,38,53,1,56
Arsenal,38,40,4,52
Aston Villa,38,75,3,84
Chelsea,38,58,5,73
Crystal Palace,38,60,2,66
Everton,38,44,5,59
Leicester City,38,49,2,55
Liverpool,38,61,3,70
Manchester City,38,61,0,61
Manchester United,38,65,1,68
Newcastle United,38,60,5,75
Norwich City,38,61,3,70
Southampton,38,57,6,75
Stoke City,38,51,4,63
Sunderland,38,64,2,70
Swansea City,38,60,1,63
Tottenham Hotspur,38,72,0,72
Watford,38,73,3,82
West Bromwich Albion,38,65,3,74
West Ham United,38,58,5,73
