Team,Year,P,yc,rc,PTS
Swansea City,2017,38,51,1,54
Tottenham Hotspur,2017,38,50,2,56
Watford,2017,38,63,4,75
West Bromwich Albion,2017,38,73,1,76
West Ham United,2017,38,73,2,79
AFC Bournemouth,2016,38,52,3,61
Arsenal,2016,38,68,3,77
Burnley,2016,38,65,2,71
Chelsea,2016,38,72,0,72
Crystal Palace,2016,38,77,0,77
Everton,2016,38,72,2,78
Hull City,2016,38,67,5,82
Leicester City,2016,38,72,1,75
Liverpool,2016,38,54,0,54
Manchester City,2016,38,71,4,83
Manchester United,2016,38,78,2,84
Middlesbrough,2016,38,77,1,80
Southampton,2016,38,59,2,65
Stoke City,2016,38,70,2,76
Sunderland,2016,38,78,4,90
Swansea City,2016,38,56,0,56
Tottenham Hotspur,2016,38,62,0,62
Watford,2016,38,84,5,99
West Bromwich Albion,2016,38,80,0,80
West Ham United,2016,38,78,5,93
AFC Bournemouth,2015,38,53,1,56
Arsenal,2015,38,40,4,52
Aston Villa,2015,38,75,3,84
Chelsea,2015,38,58,5,73
Crystal Palace,2015,38,60,2,66
Everton,2015,38,44,5,59
Leicester City,2015,38,49,2,55
Liverpool,2015,38,61,3,70
Manchester City,2015,38,61,0,61
Manchester United,2015,38,65,1,68
Newcastle United,2015,38,60,5,75
Norwich City,2015,38,61,3,70
Southampton,2015,38,57,6,75
Stoke City,2015,38,51,4,63
Sunderland,2015,38,64,2,70
Swansea City,2015,38,60,1,63
Tottenham Hotspur,2015,38,72,0,72
Watford,2015,38,73,3,82
West Bromwich Albion,2015,38,65,3,74
West Ham United,2015,38,58,5,73
Arsenal,2014,38,68,2,74
Aston Villa,2014,38,70,7,91
Burnley,2014,38,64,2,70
Chelsea,2014,38,73,4,85
Crystal Palace,2014,38,63,4,75
Everton,2014,38,66,2,72
Hull City,2014,38,73,6,91
Leicester City,2014,38,49,4,61
Liverpool,2014,38,66,3,75
Manchester City,2014,38,77,2,83
Manchester United,2014,38,64,5,79
Newcastle United,2014,38,65,7,86
Queens Park Rangers,2014,38,75,3,84
Southampton,2014,38,57,3,66
Stoke City,2014,38,82,1,85
Sunderland,2014,38,94,2,100
Swansea City,2014,38,48,5,63
Tottenham Hotspur,2014,38,79,4,91
West Bromwich Albion,2014,38,64,3,73
West Ham United,2014,38,64,2,70
Arsenal,2013,38,53,4,65
Aston Villa,2013,38,78,0,78
Cardiff City,2013,38,49,1,52
Chelsea,2013,38,57,3,66
Crystal Palace,2013,38,58,2,64
Everton,2013,38,54,1,57
Fulham,2013,38,58,1,61
Hull City,2013,38,53,4,65
Liverpool,2013,38,54,1,57
Manchester City,2013,38,72,1,75
Manchester United,2013,38,66,3,75
Newcastle United,2013,38,53,6,71
Norwich City,2013,38,62,2,68
Southampton,2013,38,60,0,60
Stoke City,2013,38,72,5,87
Sunderland,2013,38,69,7,90
Swansea City,2013,38,55,3,64
Tottenham Hotspur,2013,38,66,4,78
West Bromwich Albion,2013,38,67,0,67
West Ham United,2013,38,62,5,77
Arsenal,2012,38,42,5,57
Aston Villa,2012,38,72,3,81
Chelsea,2012,38,51,3,60
Everton,2012,38,58,3,67
Fulham,2012,38,48,3,57
Liverpool,2012,38,54,2,60
Manchester City,2012,38,62,3,71
Manchester United,2012,38,57,1,60
Newcastle United,2012,38,71,4,83
Norwich City,2012,38,60,1,63
Queens Park Rangers,2012,38,59,3,68
Reading,2012,38,45,1,48
Southampton,2012,38,43,2,49
Stoke City,2012,38,78,4,90
Sunderland,2012,38,62,3,71
Swansea City,2012,38,58,2,64
Tottenham Hotspur,2012,38,55,2,61
West Bromwich Albion,2012,38,63,4,75
West Ham United,2012,38,74,1,77
Wigan Athletic,2012,38,66,2,72
Arsenal,2011,38,31,1,34
Aston Villa,2011,38,45,0,45
Blackburn Rovers,2011,38,28,2,34
Bolton Wanderers,2011,38,18,3,27
Chelsea,2011,38,37,2,43
Everton,2011,38,30,1,33
Fulham,2011,38,24,0,24
Liverpool,2011,38,32,3,41
Manchester City,2011,38,26,2,32
Manchester United,2011,38,21,0,21
Newcastle United,2011,38,33,2,39
Norwich City,2011,38,48,2,54
Queens Park Rangers,2011,38,43,6,61
Stoke City,2011,38,35,0,35
Sunderland,2011,38,32,3,41
Swansea City,2011,38,37,2,43
Tottenham Hotspur,2011,38,25,1,28
West Bromwich Albion,2011,38,20,0,20
Wigan Athletic,2011,38,36,2,42
Wolverhampton Wanderers,2011,38,32,2,38
Arsenal,2010,38,65,6,83
Aston Villa,2010,38,71,2,77
Birmingham City,2010,38,57,3,66
Blackburn Rovers,2010,38,65,5,80
Blackpool,2010,38,47,2,53
Bolton Wanderers,2010,38,67,5,82
Chelsea,2010,38,59,1,62
Everton,2010,38,55,5,70
Fulham,2010,38,52,1,55
Liverpool,2010,38,63,2,69
Manchester City,2010,38,71,4,83
Manchester United,2010,38,56,3,65
Newcastle United,2010,38,78,2,84
Stoke City,2010,38,68,2,74
Sunderland,2010,38,57,5,72
Tottenham Hotspur,2010,38,51,2,57
West Bromwich Albion,2010,38,52,7,73
West Ham United,2010,38,60,1,63
Wigan Athletic,2010,38,67,4,79
Wolverhampton Wanderers,2010,38,62,2,68
Arsenal,2009,38,56,1,59
Aston Villa,2009,38,59,2,65
Birmingham City,2009,38,75,1,78
Blackburn Rovers,2009,38,54,2,60
Bolton Wanderers,2009,38,72,5,87
Burnley,2009,38,57,2,63
Chelsea,2009,38,54,5,69
Everton,2009,38,57,2,63
Fulham,2009,38,46,1,49
Hull City,2009,38,63,6,81
Liverpool,2009,38,55,5,70
Manchester City,2009,38,49,2,55
Manchester United,2009,38,49,4,61
Portsmouth,2009,38,65,4,77
Stoke City,2009,38,63,5,78
Sunderland,2009,38,80,9,107
Tottenham Hotspur,2009,38,59,2,65
West Ham United,2009,38,63,3,72
