Team,P,yc,rc,PTS
Arsenal,38,55,2,61
Aston Villa,38,62,1,65
Birmingham City,38,53,7,74
Blackburn Rovers,38,76,6,94
Bolton Wanderers,38,64,3,73
Charlton Athletic,38,41,1,44
Chelsea,38,63,5,78
Everton,38,65,7,86
Fulham,38,66,2,72
Liverpool,38,50,5,65
Manchester City,38,69,4,81
Manchester United,38,60,2,66
Middlesbrough,38,54,3,63
Newcastle United,38,65,7,86
Portsmouth,38,56,1,59
Sunderland,38,69,4,81
Tottenham Hotspur,38,53,7,74
West Bromwich Albion,38,46,2,52
West Ham United,38,50,2,56
Wigan Athletic,38,55,4,67
