Team,P,yc,rc,PTS
Arsenal,38,55,3,64
Aston Villa,38,64,4,76
Birmingham City,38,72,4,84
Blackburn Rovers,38,63,4,75
Bolton Wanderers,38,69,3,78
Charlton Athletic,38,56,2,62
Chelsea,38,64,1,67
Everton,38,53,7,74
Fulham,38,57,6,75
Leeds United,38,71,2,77
Liverpool,38,47,3,56
Manchester City,38,54,5,69
Manchester United,38,46,1,49
Middlesbrough,38,50,5,65
Newcastle United,38,48,3,57
Southampton,38,47,3,56
Sunderland,38,60,1,63
Tottenham Hotspur,38,60,5,75
West Bromwich Albion,38,53,4,65
West Ham United,38,66,5,81
