Team,P,yc,rc,PTS
Arsenal,38,40,2,46
Aston Villa,38,44,3,53
Birmingham City,38,50,0,50
Blackburn Rovers,38,51,5,66
Bolton Wanderers,38,51,0,51
Chelsea,38,48,5,63
Derby County,38,45,1,48
Everton,38,27,3,36
Fulham,38,42,5,57
Liverpool,38,33,0,33
Manchester City,38,42,2,48
Manchester United,38,37,1,40
Middlesbrough,38,55,0,55
Newcastle United,38,45,1,48
Portsmouth,38,46,1,49
Reading,38,36,4,48
Sunderland,38,44,4,56
Tottenham Hotspur,38,45,1,48
West Ham United,38,49,1,52
Wigan Athletic,38,40,2,46
