Team,P,yc,rc,PTS
Arsenal,38,232,12,268
Aston Villa,38,200,4,212
Blackburn Rovers,38,296,24,368
Bolton Wanderers,38,344,16,392
Charlton Athletic,38,248,12,284
Chelsea,38,256,16,304
Everton,38,260,4,272
Fulham,38,228,12,264
Liverpool,38,172,0,172
Manchester City,38,220,16,268
Manchester United,38,232,4,244
Middlesbrough,38,260,8,284
Newcastle United,38,268,4,280
Portsmouth,38,192,8,216
Reading,38,160,12,196
Sheffield United,38,268,8,292
Tottenham Hotspur,38,180,12,216
Watford,38,184,8,208
West Ham United,38,384,16,432
Wigan Athletic,38,312,16,360
