Team,P,yc,rc,PTS
AFC Bournemouth,38,52,3,61
Arsenal,38,68,3,77
Burnley,38,65,2,71
Chelsea,38,72,0,72
Crystal Palace,38,77,0,77
Everton,38,72,2,78
Hull City,38,67,5,82
Leicester City,38,72,1,75
Liverpool,38,54,0,54
Manchester City,38,71,4,83
Manchester United,38,78,2,84
Middlesbrough,38,77,1,80
Southampton,38,59,2,65
Stoke City,38,70,2,76
Sunderland,38,78,4,90
Swansea City,38,56,0,56
Tottenham Hotspur,38,62,0,62
Watford,38,84,5,99
West Bromwich Albion,38,80,0,80
West Ham United,38,78,5,93
