Team,P,yc,rc,PTS
Arsenal,38,56,1,59
Aston Villa,38,59,2,65
Birmingham City,38,75,1,78
Blackburn Rovers,38,54,2,60
Bolton Wanderers,38,72,5,87
Burnley,38,57,2,63
Chelsea,38,54,5,69
Everton,38,57,2,63
Fulham,38,46,1,49
Hull City,38,63,6,81
Liverpool,38,55,5,70
Manchester City,38,49,2,55
Manchester United,38,49,4,61
Portsmouth,38,65,4,77
Stoke City,38,63,5,78
Sunderland,38,80,9,107
Tottenham Hotspur,38,59,2,65
West Ham United,38,63,3,72
Wigan Athletic,38,65,3,74
Wolverhampton Wanderers,38,63,4,75
