Team,P,yc,rc,PTS
Arsenal,38,31,1,34
Aston Villa,38,45,0,45
Blackburn Rovers,38,28,2,34
Bolton Wanderers,38,18,3,27
Chelsea,38,37,2,43
Everton,38,30,1,33
Fulham,38,24,0,24
Liverpool,38,32,3,41
Manchester City,38,26,2,32
Manchester United,38,21,0,21
Newcastle United,38,33,2,39
Norwich City,38,48,2,54
Queens Park Rangers,38,43,6,61
Stoke City,38,35,0,35
Sunderland,38,32,3,41
Swansea City,38,37,2,43
Tottenham Hotspur,38,25,1,28
West Bromwich Albion,38,20,0,20
Wigan Athletic,38,36,2,42
Wolverhampton Wanderers,38,32,2,38
