Team,P,yc,rc,PTS
AFC Bournemouth,38,69,0,69
Arsenal,38,57,0,57
Aston Villa,38,77,1,80
Brentford,38,56,1,59
Brighton & Hove Albion,38,58,0,58
Chelsea,38,76,3,85
Crystal Palace,38,81,3,90
Everton,38,74,2,80
Fulham,38,80,1,83
Leeds United,38,87,3,96
Leicester City,38,60,2,66
Liverpool,38,57,1,60
Manchester City,38,44,1,47
Manchester United,38,78,2,84
Newcastle United,38,68,1,71
Nottingham Forest,38,85,0,85
Southampton,38,73,0,73
Tottenham Hotspur,38,76,3,85
West Ham United,38,45,0,45
Wolverhampton Wanderers,38,86,6,104
