Team,P,yc,rc,PTS
AFC Bournemouth,38,79,3,88
Arsenal,38,63,2,69
Aston Villa,38,93,2,99
Brentford,38,92,2,98
Brighton & Hove Albion,38,91,3,100
Burnley,38,74,7,95
Chelsea,38,107,4,119
Crystal Palace,38,71,2,77
Everton,38,81,1,84
Fulham,38,81,4,93
Liverpool,38,67,5,82
Luton Town,38,71,0,71
Manchester City,38,54,3,63
Manchester United,38,79,1,82
Newcastle United,38,78,1,81
Nottingham Forest,38,80,3,89
Sheffield United,38,99,5,114
Tottenham Hotspur,38,91,4,103
West Ham United,38,79,3,88
Wolverhampton Wanderers,38,101,3,110
