Team,P,yc,rc,PTS
AFC Bournemouth,38,74,3,83
Arsenal,38,87,5,102
Aston Villa,38,68,1,71
Brighton & Hove Albion,38,57,2,63
Burnley,38,67,0,67
Chelsea,38,60,0,60
Crystal Palace,38,62,2,68
Everton,38,70,3,79
Leicester City,38,43,3,52
Liverpool,38,38,1,41
Manchester City,38,60,4,72
Manchester United,38,73,0,73
Newcastle United,38,71,3,80
Norwich City,38,68,3,77
Sheffield United,38,61,2,67
Southampton,38,52,4,64
Tottenham Hotspur,38,77,2,83
Watford,38,76,3,85
West Ham United,38,62,1,65
Wolverhampton Wanderers,38,55,2,61
