Team,P,yc,rc,PTS
Arsenal,38,48,5,63
Aston Villa,38,67,4,79
Brighton & Hove Albion,38,45,6,63
Burnley,38,48,0,48
Chelsea,38,50,3,59
Crystal Palace,38,55,2,61
Everton,38,59,2,65
Fulham,38,67,3,76
Leeds United,38,61,1,64
Leicester City,38,61,0,61
Liverpool,38,40,0,40
Manchester City,38,46,2,52
Manchester United,38,64,1,67
Newcastle United,38,62,3,71
Sheffield United,38,73,3,82
Southampton,38,52,3,61
Tottenham Hotspur,38,55,2,61
West Bromwich Albion,38,51,4,63
West Ham United,38,49,3,58
Wolverhampton Wanderers,38,54,1,57
