Team,P,yc,rc,PTS
Arsenal,38,58,3,67
Aston Villa,38,54,2,60
Blackburn Rovers,38,75,4,87
Bolton Wanderers,38,53,1,56
Chelsea,38,50,3,59
Everton,38,49,1,52
Fulham,38,39,1,42
Hull City,38,70,3,79
Liverpool,38,48,0,48
Manchester City,38,54,4,66
Manchester United,38,60,5,75
Middlesbrough,38,53,3,62
Newcastle United,38,63,8,87
Portsmouth,38,55,5,70
Stoke City,38,74,5,89
Sunderland,38,71,1,74
Tottenham Hotspur,38,72,5,87
West Bromwich Albion,38,67,1,70
West Ham United,38,58,4,70
Wigan Athletic,38,53,4,65
