Team,P,yc,rc,PTS
Arsenal,38,46,1,49
Aston Villa,38,56,2,62
Birmingham City,38,58,3,67
Blackburn Rovers,38,80,5,95
Bolton Wanderers,38,57,2,63
Charlton Athletic,38,35,3,44
Chelsea,38,52,0,52
Crystal Palace,38,58,3,67
Everton,38,55,4,67
Fulham,38,57,7,78
Liverpool,38,43,2,49
Manchester City,38,44,3,53
Manchester United,38,49,5,64
Middlesbrough,38,53,2,59
Newcastle United,38,62,6,80
Norwich City,38,38,2,44
Portsmouth,38,46,1,49
Southampton,38,55,2,61
Tottenham Hotspur,38,51,1,54
West Bromwich Albion,38,41,5,56
