Team,P,yc,rc,PTS
AFC Bournemouth,38,55,1,58
Arsenal,38,57,2,63
Brighton & Hove Albion,38,54,2,60
Burnley,38,65,0,65
Chelsea,38,42,4,54
Crystal Palace,38,72,0,72
Everton,38,51,3,60
Huddersfield Town,38,62,3,71
Leicester City,38,52,5,67
Liverpool,38,44,1,47
Manchester City,38,59,2,65
Manchester United,38,64,1,67
Newcastle United,38,52,2,58
Southampton,38,63,2,69
Stoke City,38,62,1,65
Swansea City,38,51,1,54
Tottenham Hotspur,38,50,2,56
Watford,38,63,4,75
West Bromwich Albion,38,73,1,76
West Ham United,38,73,2,79
