Name,Team,P,G,A
Alejandro Bedoya,Philadelphia Union,22,3,3
Andre Blake,Philadelphia Union,22,0,0
Andrew Wooten,Philadelphia Union,16,0,4
Anthony Fontana,Philadelphia Union,18,6,0
Brenden Aaronson,Philadelphia Union,24,4,7
Cole Turner,Philadelphia Union,1,0,0
Cory Burke,Philadelphia Union,6,2,0
Ilsinho,Philadelphia Union,23,3,3
Jack De Vries,Philadelphia Union,4,0,0
Jack Elliott,Philadelphia Union,18,1,0
Jakob Glesnes,Philadelphia Union,20,1,0
Jamiro Monteiro,Philadelphia Union,23,3,6
Joe Bendik,Philadelphia Union,2,0,0
José Andrés Martínez,Philadelphia Union,15,0,2
Kacper Przybylko,Philadelphia Union,24,8,6
Kai Wagner,Philadelphia Union,15,1,2
Mark McKenzie,Philadelphia Union,23,2,3
Matej Oravec,Philadelphia Union,0,0,0
Matthew Freese,Philadelphia Union,1,0,0
Matthew Real,Philadelphia Union,15,1,2
Michee Ngalina,Philadelphia Union,0,0,0
Olivier Mbaizo,Philadelphia Union,14,0,2
Raymon Gaddis,Philadelphia Union,16,0,1
Sergio Santos,Philadelphia Union,22,8,2
Warren Creavalle,Philadelphia Union,11,0,0
