Name,Team,P,G,A
Andre Rawls,Colorado Rapids,0,0,0
Andre Shinyashiki,Colorado Rapids,16,4,1
Auston Trusty,Colorado Rapids,8,0,1
Brian Galván,Colorado Rapids,10,1,1
Clint Irwin,Colorado Rapids,4,0,0
Cole Bassett,Colorado Rapids,15,5,5
Collen Warner,Colorado Rapids,7,0,0
Danny Wilson,Colorado Rapids,10,0,0
Deklan Wynne,Colorado Rapids,0,0,0
Diego Rubio,Colorado Rapids,17,3,4
Drew Moor,Colorado Rapids,8,1,0
Jack Price,Colorado Rapids,17,0,5
Jeremy Kelly,Colorado Rapids,8,0,1
Jonathan Lewis,Colorado Rapids,19,5,0
Keegan Rosenberry,Colorado Rapids,18,1,2
Kellyn Acosta,Colorado Rapids,16,2,1
Lalas Abubakar,Colorado Rapids,18,1,0
Matthew Hundley,Colorado Rapids,0,0,0
Nicolas Benezet,Colorado Rapids,13,0,3
Nicolás Mezquida,Colorado Rapids,18,1,1
Sam Nicholson,Colorado Rapids,2,0,0
Sam Vines,Colorado Rapids,19,1,3
William Yarbrough,Colorado Rapids,15,0,0
Younes Namli,Colorado Rapids,18,2,4
