Name,Team,P,G,A
Adam Jahn,Atlanta United FC,21,3,2
Anton Walkes,Atlanta United FC,17,0,1
Brad Guzan,Atlanta United FC,23,0,0
Brooks Lennon,Atlanta United FC,23,2,3
Edgar Castillo,Atlanta United FC,4,0,0
Emerson Hyndman,Atlanta United FC,20,2,2
Eric Remedi,Atlanta United FC,18,1,1
Erick Torres,Atlanta United FC,13,1,1
Ezequiel Barco,Atlanta United FC,15,2,3
Fernando Meza,Atlanta United FC,13,0,0
Franco Escobar,Atlanta United FC,16,0,2
George Bello,Atlanta United FC,20,1,1
Gonzalo Martínez,Atlanta United FC,8,2,2
Jake Mulraney,Atlanta United FC,18,1,1
Jeff Larentowicz,Atlanta United FC,19,2,1
Jon Gallagher,Atlanta United FC,16,4,0
Josef Martínez,Atlanta United FC,1,0,0
Jürgen Damm,Atlanta United FC,14,0,4
Laurence Wyke,Atlanta United FC,7,0,0
Manuel Castro,Atlanta United FC,10,0,0
Marcelino Moreno,Atlanta United FC,6,2,1
Matheus Rossetto,Atlanta United FC,15,0,0
Miles Robinson,Atlanta United FC,17,0,0
Mohammed Adams,Atlanta United FC,14,0,1
Tyler Wolff,Atlanta United FC,5,0,0
