"Name","Team","P","G","A"
"Alex Roldan","Seattle Sounders FC","22","0","1"
"Brad Smith","Seattle Sounders FC","9","0","0"
"Cristian Roldan","Seattle Sounders FC","26","2","5"
"Daniel Leyva","Seattle Sounders FC","2","0","0"
"Gustav Svensson","Seattle Sounders FC","14","1","0"
"Harry Shipp","Seattle Sounders FC","2","0","0"
"Jimmy Medranda","Seattle Sounders FC","4","0","0"
"Joevin Jones","Seattle Sounders FC","17","2","3"
"Jordan Morris","Seattle Sounders FC","26","11","9"
"Jordy Delem","Seattle Sounders FC","18","0","1"
"Joshua Atencio","Seattle Sounders FC","5","0","0"
"João Paulo","Seattle Sounders FC","23","2","5"
"Kelvin Leerdam","Seattle Sounders FC","24","3","3"
"Miguel Ibarra","Seattle Sounders FC","12","0","0"
"Nicolás Lodeiro","Seattle Sounders FC","24","8","13"
"Nouhou Tolo","Seattle Sounders FC","26","0","2"
"Raúl Ruidíaz","Seattle Sounders FC","21","14","6"
"Román Torres","Seattle Sounders FC","10","0","0"
"Shandon Hopeau","Seattle Sounders FC","5","0","0"
"Shane O'Neill","Seattle Sounders FC","22","1","0"
"Stefan Frei","Seattle Sounders FC","26","0","0"
"Will Bruin","Seattle Sounders FC","17","2","1"
"Xavier Arreaga","Seattle Sounders FC","14","0","2"
"Yeimar Gómez","Seattle Sounders FC","23","2","1"
