Name,Team,P,G,A
Benjamin Kikanovic,San Jose Earthquakes,29,6,3
Cade Cowell,San Jose Earthquakes,30,2,4
Cristian Espinoza,San Jose Earthquakes,33,7,12
Eric Remedi,San Jose Earthquakes,25,0,0
Francisco Calvo,San Jose Earthquakes,13,2,0
Jack Skahan,San Jose Earthquakes,9,1,0
Jackson Yueill,San Jose Earthquakes,30,4,2
Jamiro Monteiro,San Jose Earthquakes,30,4,6
Jan Gregus,San Jose Earthquakes,27,0,5
Javier López,San Jose Earthquakes,4,1,0
Jeremy Ebobisse,San Jose Earthquakes,33,16,2
JT Marcinkowski,San Jose Earthquakes,32,0,0
Judson,San Jose Earthquakes,15,0,0
Marcos López,San Jose Earthquakes,17,1,0
Matt Bersano,San Jose Earthquakes,2,0,0
Miguel Trauco,San Jose Earthquakes,2,0,1
Nathan Cardoso,San Jose Earthquakes,25,3,0
Niko Tsakiris,San Jose Earthquakes,9,0,0
Oskar Ågren,San Jose Earthquakes,3,0,0
Ousseni Bouda,San Jose Earthquakes,9,0,0
Paul Marie,San Jose Earthquakes,31,1,2
Rodrigues,San Jose Earthquakes,6,0,0
Shea Salinas,San Jose Earthquakes,13,1,0
Tanner Beason,San Jose Earthquakes,27,0,0
Tommy Thompson,San Jose Earthquakes,26,1,2
