Name,Team,P,G,A
Adam Buksa,New England Revolution,10,7,2
Andrew Farrell,New England Revolution,31,0,1
Arnór Traustason,New England Revolution,15,0,0
Brandon Bye,New England Revolution,28,2,6
Carles Gil,New England Revolution,32,7,9
Damian Rivera,New England Revolution,12,1,0
DeJuan Jones,New England Revolution,30,1,6
Djordje Petrovic,New England Revolution,20,0,0
Dylan Borrero,New England Revolution,11,2,2
Emmanuel Boateng,New England Revolution,27,2,2
Giacomo Vrioni,New England Revolution,6,1,0
Gustavo Bou,New England Revolution,18,8,2
Henry Kessler,New England Revolution,21,1,0
Jon Bell,New England Revolution,15,1,0
Jozy Altidore,New England Revolution,17,1,0
Justin Rennicks,New England Revolution,17,2,0
Maciel,New England Revolution,16,0,1
Matt Polster,New England Revolution,28,2,0
Noel Buck,New England Revolution,7,1,0
Omar González,New England Revolution,16,0,0
Ryan Spaulding,New England Revolution,7,0,0
Thomas McNamara,New England Revolution,32,4,3
Wilfrid Kaptoum,New England Revolution,20,1,0
