Name,Team,P,G,A
Abu Danladi,Minnesota United FC,19,2,0
Adrien Hunou,Minnesota United FC,9,0,0
Alan Benítez,Minnesota United FC,11,1,2
Bakaye Dibassy,Minnesota United FC,26,1,0
Bongokuhle Hlongwane,Minnesota United FC,30,2,5
Brent Kallman,Minnesota United FC,20,2,0
D.J. Taylor,Minnesota United FC,26,1,2
Dayne St. Clair,Minnesota United FC,32,0,1
Emanuel Reynoso,Minnesota United FC,29,11,6
Franco Fragapane,Minnesota United FC,30,6,2
Hassani Dotson,Minnesota United FC,7,1,2
Jacori Hayes,Minnesota United FC,8,0,1
Jonathan Gonzalez,Minnesota United FC,7,0,0
Joseph Rosales,Minnesota United FC,24,0,2
Kemar Lawrence,Minnesota United FC,27,1,2
Kervin Arriaga,Minnesota United FC,25,1,0
Luis Amarilla,Minnesota United FC,33,9,4
Mender García,Minnesota United FC,9,1,0
Michael Boxall,Minnesota United FC,31,0,0
Nabilai Kibunguchy,Minnesota United FC,2,0,0
Niko Hansen,Minnesota United FC,5,0,1
Oniel Fisher,Minnesota United FC,12,0,0
Robin Lod,Minnesota United FC,30,6,2
Tyler Miller,Minnesota United FC,3,0,0
Wil Trapp,Minnesota United FC,27,0,0
