Name,Team,P,G,A
Aljaz Ivacic,Portland Timbers,31,0,0
Bill Tuiloma,Portland Timbers,29,6,3
Blake Bodily,Portland Timbers,3,0,0
Claudio Bravo,Portland Timbers,25,0,2
Cristhian Paredes,Portland Timbers,26,2,2
Dairon Asprilla,Portland Timbers,28,9,2
Dario Zuparic,Portland Timbers,30,0,0
David Ayala,Portland Timbers,20,0,0
David Bingham,Portland Timbers,2,0,0
Diego Chará,Portland Timbers,28,0,2
Eryk Williamson,Portland Timbers,22,0,6
Felipe Mora,Portland Timbers,7,1,0
George Fochive,Portland Timbers,2,0,0
Jaroslaw Niezgoda,Portland Timbers,29,9,2
José Van Rankin,Portland Timbers,23,1,0
Juan Mosquera,Portland Timbers,2,0,0
Justin Rasmussen,Portland Timbers,9,0,0
Larrys Mabiala,Portland Timbers,20,0,0
Marvin Loría,Portland Timbers,27,2,1
Nathan Fogaça,Portland Timbers,11,2,0
Pablo Bonilla,Portland Timbers,6,0,0
Santiago Moreno,Portland Timbers,33,7,6
Sebastián Blanco,Portland Timbers,31,7,7
Yimmi Chará,Portland Timbers,33,4,3
Zac McGraw,Portland Timbers,21,1,0
