Name,Team,P,G,A
Abdoulaye Cissoko,Seattle Sounders FC,10,0,0
Albert Rusnák,Seattle Sounders FC,31,3,1
Alex Roldan,Seattle Sounders FC,31,1,6
Cristian Roldan,Seattle Sounders FC,25,4,4
Daniel Leyva,Seattle Sounders FC,18,0,1
Dylan Teves,Seattle Sounders FC,5,1,0
Ethan Dobbelaere,Seattle Sounders FC,8,0,0
Fredy Montero,Seattle Sounders FC,25,4,1
Jackson Ragen,Seattle Sounders FC,22,0,0
Jimmy Medranda,Seattle Sounders FC,21,0,2
Jordan Morris,Seattle Sounders FC,28,7,2
Joshua Atencio,Seattle Sounders FC,17,0,0
João Paulo,Seattle Sounders FC,6,1,0
Kelyn Rowe,Seattle Sounders FC,28,1,1
Léo Chú,Seattle Sounders FC,24,0,2
Nicolás Lodeiro,Seattle Sounders FC,27,5,9
Nouhou Tolo,Seattle Sounders FC,29,1,3
Obed Vargas,Seattle Sounders FC,13,0,0
Raúl Ruidíaz,Seattle Sounders FC,18,9,1
Reed Baker-Whiting,Seattle Sounders FC,2,0,0
Stefan Cleveland,Seattle Sounders FC,6,0,0
Stefan Frei,Seattle Sounders FC,27,0,0
Will Bruin,Seattle Sounders FC,23,3,0
Xavier Arreaga,Seattle Sounders FC,26,1,0
Yeimar Gómez,Seattle Sounders FC,27,1,0
