Name,Team,P,G,A
Alec Kann,FC Cincinnati,7,0,0
Allan Cruz,FC Cincinnati,11,0,0
Alvas Powell,FC Cincinnati,29,0,3
Arquímides Ordóñez,FC Cincinnati,8,0,0
Brandon Vázquez,FC Cincinnati,34,18,5
Brenner,FC Cincinnati,30,15,5
Calvin Harris,FC Cincinnati,8,1,1
Dominique Badji,FC Cincinnati,24,0,2
Geoff Cameron,FC Cincinnati,26,0,1
Haris Medunjanin,FC Cincinnati,20,0,0
Ian Murphy,FC Cincinnati,27,1,0
John Nelson,FC Cincinnati,24,0,1
Júnior Moreno,FC Cincinnati,28,2,0
Luciano Acosta,FC Cincinnati,31,10,13
Matt Miazga,FC Cincinnati,11,2,0
Nicholas Markanich,FC Cincinnati,9,0,0
Nick Hagglund,FC Cincinnati,33,1,1
Obinna Nwobodo,FC Cincinnati,25,0,3
Raymon Gaddis,FC Cincinnati,23,0,0
Roman Celentano,FC Cincinnati,28,0,0
Rónald Matarrita,FC Cincinnati,8,1,3
Sergio Santos,FC Cincinnati,21,1,4
Tyler Blackett,FC Cincinnati,20,0,1
Yuya Kubo,FC Cincinnati,27,1,1
Álvaro Barreal,FC Cincinnati,33,5,6
