Name,Team,P,G,A
Bakary Soumaré,Chicago Fire FC,19,0,0
Brian Plotkin,Chicago Fire FC,10,0,0
Bruno Menezes,Chicago Fire FC,0,0,0
C.J. Brown,Chicago Fire FC,32,0,0
Calen Carr,Chicago Fire FC,33,3,4
Chad Barrett,Chicago Fire FC,33,8,3
Chris Armas,Chicago Fire FC,30,0,1
Chris Rolfe,Chicago Fire FC,22,8,1
Cuauhtemoc Blanco,Chicago Fire FC,17,4,9
Dasan Robinson,Chicago Fire FC,26,1,0
Diego Gutierrez,Chicago Fire FC,26,0,0
Floyd Franks,Chicago Fire FC,12,1,0
Gonzalo Segares,Chicago Fire FC,30,1,1
Ivan Guerrero,Chicago Fire FC,19,1,1
Jeff Curtin,Chicago Fire FC,3,1,0
Jim Curtin,Chicago Fire FC,14,0,0
John Thorrington,Chicago Fire FC,3,1,0
Justin Mapp,Chicago Fire FC,16,0,1
Logan Pause,Chicago Fire FC,26,1,0
Matthew Pickens,Chicago Fire FC,30,0,0
Pascal Bedrossian,Chicago Fire FC,6,0,0
Paulo Wanchope,Chicago Fire FC,13,2,0
Thiaguinho Correa,Chicago Fire FC,17,0,0
Willian Oliveira,Chicago Fire FC,11,1,5
Wilman Conde,Chicago Fire FC,9,0,1
Wilman Conde,Chicago Fire FC,9,0,0
