Name,Team,P,G,A
Abdoulie Mansally,New England Revolution,1,0,0
Adam Cristman,New England Revolution,34,4,5
Amaechi Igwe,New England Revolution,0,0,0
Andy Dorman,New England Revolution,31,7,3
Arsene Oka,New England Revolution,1,0,0
Avery John,New England Revolution,23,0,0
Brad Knighton,New England Revolution,0,0,0
Bryan Byrne,New England Revolution,2,0,0
Chris Loftus,New England Revolution,0,0,0
Gary Flood,New England Revolution,6,0,0
James Riley,New England Revolution,29,0,0
Jay Heaps,New England Revolution,32,1,0
Jeff Larentowicz,New England Revolution,32,3,3
Joe Franchino,New England Revolution,3,0,0
Khano Smith,New England Revolution,38,2,4
Kyle Helton,New England Revolution,0,0,0
Matt Reis,New England Revolution,34,0,1
Michael Parkhurst,New England Revolution,29,1,0
Pat Noonan,New England Revolution,32,7,6
Ryan Solle,New England Revolution,0,0,0
Sainey Nyassi,New England Revolution,1,0,0
Shalrie Joseph,New England Revolution,31,4,5
Steve Ralston,New England Revolution,30,4,18
Taylor Twellman,New England Revolution,31,19,8
Wells Thompson,New England Revolution,36,1,2
