"Name","Team","P","G","A"
"Akil Watts","St. Louis CITY SC","20","0","1"
"Anthony Markanich","St. Louis CITY SC","21","1","0"
"Aziel Jackson","St. Louis CITY SC","27","1","4"
"Célio Pompeu","St. Louis CITY SC","28","2","2"
"Eduard Löwen","St. Louis CITY SC","31","6","14"
"Indiana Vassilev","St. Louis CITY SC","36","2","5"
"Isak Jensen","St. Louis CITY SC","11","0","0"
"Jakob Nerwinski","St. Louis CITY SC","30","0","2"
"Jared Stroud","St. Louis CITY SC","33","5","6"
"Joakim Nilsson","St. Louis CITY SC","9","0","0"
"John Nelson","St. Louis CITY SC","17","0","1"
"Jon Bell","St. Louis CITY SC","3","0","0"
"Joshua Yaro","St. Louis CITY SC","17","0","0"
"João Klauss","St. Louis CITY SC","21","10","4"
"Kyle Hiebert","St. Louis CITY SC","29","2","1"
"Lucas Bartlett","St. Louis CITY SC","14","0","1"
"Miguel Perez","St. Louis CITY SC","15","1","0"
"Nicholas Gioacchini","St. Louis CITY SC","34","10","1"
"Njabulo Blom","St. Louis CITY SC","28","1","2"
"Nökkvi Thórisson","St. Louis CITY SC","9","1","1"
"Rasmus Alm","St. Louis CITY SC","21","3","4"
"Roman Bürki","St. Louis CITY SC","35","0","0"
"Samuel Adeniran","St. Louis CITY SC","20","8","1"
"Tim Parker","St. Louis CITY SC","31","5","0"
"Tomas Ostrak","St. Louis CITY SC","31","3","2"
